group,keyword,rules_pre,rules_post,rules_all,voids
vehicle incident general,window,minor damage_ striking a parked_ damage to_ cracked,minor damage_ was dented_ was broken,struck (.*) window_ broke (.*) window_ broke (.*) windscreen_ broke.* back_ over.* pot.*hole_ damaged.* window_ came in.* contact with,
vehicle incident general,winds*,minor damage_ striking a parked_ damage to_ cracked,minor damage_ was dented_ was broken,struck (.*) window_ broke (.*) window_ broke (.*) windscreen_ broke.* back_ over.* pot.*hole_ damaged.* window_ came in.* contact with,wind_ gust
vehicle incident general,driv*,minor damage_ striking a parked_ damage to_ causing.*dent,non-trafficable_ minor damage_ trailer broke.*_ sharp.* turn.*_ was dented_ was broken_ reversed.*barrier_ while.*phone_ while.* mobile_ was.*blind.*sun.*_ accident,driven over (.*) damage_ backed into (.*) damage_ damaged.* auto_ came in.* contact with,
vehicle incident general,traffic,minor damage_ striking a parked_ damage to_ causing.*dent,minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident,road traffic incident_ road (.*) incident_ came in.* contact with,
vehicle incident general,tyre*,minor damage_ striking a parked_ damage to,flat_ puncture_ contact,flat tyre_ flat tire_ flat tyres_ flat tires_ damaged tire*_ came in.* contact with,
vehicle incident general,tire*,minor damage_ striking a parked_ damage to,flat_ puncture_ contact,flat tyre_ flat tire_ flat tyres_ flat tires_ damaged tyre*_ came in.* contact with,
vehicle incident general,dent,minor damage_ striking a parked_ damage to,minor damage_ was dented_ was broken_ while.*park.*_ appear.*on.*car_ appear.*on.*truck_ appear.*on.*van_ appear.*on.*vehicle,found.* vehicle_ found.* truck_ found.* van_ found.* car_ _ came in.* contact with,
vehicle incident general,damage,minor damage_ striking a parked_ damage to,minor damage_ was dented_ was broken_ while.*park.*_ appear.*on.*truck_ appear.*on.*van_ appear.*on.*vehicle,found.* vehicle_ found.* truck_ found.* van_ found.* car_ _ came in.* contact with,
vehicle incident general,scratch*,minor damage_ striking a parked_ damage to,minor damage_ was dented_ was broken_ while.*park.*_ appear.*on.*truck_ appear.*on.*van_ appear.*on.*vehicle,found.* vehicle_ found.* truck_ found.* van_ found.* car_ paint.* to the_ came in.* contact with,
vehicle incident general,bus,minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked,minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident_ contact_ in.*collision_ reversed into_ backed into,road traffic incident_ road (.*) incident_ came in.* contact with,
vehicle incident general,taillight,damag.*_ cracked_ broke.*,damag.*_ cracked_ broke.*,striking.*taillight lens,
vehicle incident general,tail light,damag.*_ cracked_ broke.*,damag.*_ cracked_ broke.*,striking.*taillight lens,
vehicle incident general,lane*,,,attempted to change,
vehicle incident general,mobile,,whil.*driv_ whil.*enter.*_ when driv.*_ when enter.*,,
vehicle incident general,collis*,,minor damage_ was dented_ was broken_ while.*park.*,near.*miss.*collis.*_ near.*miss.*crash.*,
vehicle incident general,crash*,,minor damage_ was dented_ was broken_ while.*park.*,near.*miss.*collis.*_ near.*miss.*crash.*,
vehicle incident general,blind.*,,sunlight.*road,,
vehicle incident general,trailer,minor damage_ striking a parked_ damage to,accident_ contact_ was damaged,,
vehicle incident general,fender,minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked,minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident,road traffic incident_ road (.*) incident_ came in.* contact with,
vehicle incident general,sleep,vehicle,vehicle,,
hand or arm injury,finger*,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in_ hit_ bang.*_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ hit_bang.*_ snag.*,finger (.*) injury_ finger (.*) damage_ finger (.*) break_ finger (.*) fracture_ cut (.*) finger_ catching (.*) finger in_ causing.* avulsion_ was jammed_ struck by_ injur.* finger.*_ felt.*pain,finger tight
hand or arm injury,knuckle,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ irritation to_ bruis.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,thumb (.*) injury_ thumb (.*) damage_ thumb (.*) break_ thumb (.*) fracture_ catching (.*) thumb in_ causing.* avulsion_ struck by_ injur.* thumb_ felt.*pain,
hand or arm injury,thumb*,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ irritation to_ bruis.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edgev_ got caught_ cut,thumb (.*) injury_ thumb (.*) damage_ thumb (.*) break_ thumb (.*) fracture_ catching (.*) thumb in_ causing.* avulsion_ struck by_ injur.* thumb_ felt.*pain,
hand or arm injury,wrist*,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,wrist (.*) injury_ wrist (.*) damage_ wrist (.*) break_ wrist (.*) fracture_ minor (.*) injury_ struck by_ injur.* wrist#_ felt.*pain,
hand or arm injury,hand,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ struck.*right_ struck.*left_ abrasion to_ came.*in.*contactv_ bruis.*_ splinter in_ scratch.*_ pierce.*_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,hand (.*) injury_ hand (.*) damage_ hand (.*) break_ hand (.*) fracture_ minor (.*) injury_ pierced (.*) hand_ struck in hand_ catching (.*) hand in_ struck.* against.* causing.* discomfort_ struck by_ injur.* hand_ felt.*pain,slip.*
hand or arm injury,palm,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,palm (.*) injury_ palm (.*) damage_ palm (.*) break_ palm (.*) fracture_ minor (.*) injury_ pierced (.*) palm_ struck in palm_ catching (.*) palm in_ struck by_ felt.*pain,
hand or arm injury,forearm,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,palm (.*) injury_ palm (.*) damage_ palm (.*) break_ palm (.*) fracture_ minor (.*) injury_ pierced (.*) palm_ struck in palm_ catching (.*) palm in_ injury.* to_ struck by_ injur.* forearm.*_ felt.*pain,
hand or arm injury,arm,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,palm (.*) injury_ palm (.*) damage_ palm (.*) break_ palm (.*) fracture_ minor (.*) injury_ pierced (.*) palm_ struck in palm_ catching (.*) palm in_ injury.* to_ struck by_ injur.* arm*_ felt.*pain,
foot or leg injury,ankle*,laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ rolled.* ankle_ soreness in_ abrasions to_ injured to_ pain_ sprain_ bump.*_ dislocate.*_ swell.*_ numb.*_ twist.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ pop.*_ pain_ jammed inv_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut_ discomfort,fall_ fell_ trip_ tripped_ rolled.* ankle_ reported.* pain_ injur.* ankle*_ felt.*pain,
foot or leg injury,foot,rolled on.*_ reported sore_ rolled.* foot_ soreness in_ abrasions to_ injured to_ pinched_ pain in_ sprain_ bump.*_ dislocate.*_ struck his_ struck her_ swell.*_ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ pain to_ strain.*,pain_ jammed in_ crushedv_ laceration_ was caught_ sharp edge_ got caught_ cut,abrasion (.*) toe_ banged toe_ dropped (.*) toe_ dropped (.*) foot_ rolled.* foot_ reported.* pain_ injur.* foot*_ felt.*pain,foot slipped off (.*) break_ foot slipped on (.*) break
foot or leg injury,leg,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ painv_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,leg (.*) contact_ reported.* pain_ injur.* leg*_ felt.*pain,
foot or leg injury,thigh,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ painv_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut,leg (.*) contact_ reported.* pain_ injur.* leg*_ felt.*pain,
foot or leg injury,knee,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pop.*_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut, strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain,
foot or leg injury,toe,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut, strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain,
foot or leg injury,shin,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut, strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain,
foot or leg injury,calf,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ ice_ scrape.*v_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ strain.*,injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught,,
