text,pred,rule_book
wood group personnel found near open flooring and potential to fall during a safety audit of a task to replace buckled flooring to a walkway on entering a hot work containment tent three wood personnel were seen to be stood in the vicinity of an open floor without any fall prevention or fall protection in place the documentation in place was for the hot work only grindingcutting and did not cover the removal of the floor plates a scaffold tag attached at the scaffold access to the containment tent gave instruction stating harness to be worn when flooring removed signage had also been displayed by the wood employees to the two scaffold access gates stating open floor no entry the work area perimeter was also identified with hotwork in progress hazard warning tape the permit for the task was pulled and the task stopped until the correct safety control measures for working at height and removal of the floor plates on this task were put in place this was rectified and work resumed,0,1
mobile alluminium scaffold tower approx ten meters in height erected incorrectly on the morning of the 15th august two thousand and seventeen inside building b177 level one hundred and ten the electrical subcontractor had the task to install cable tray a job start took place with the electrical supervisor and two electricians the task at hand was given to the electricians to erect an aluminum scaffold tower at some point that morning a conversation took place with the electricians and a clients representative the conversation was in regards to the erection of the scaffold was there a client life saving rule lsr violation e g was fall protection required the clients representative then asked for the ptw issuers opinion he was unsure and called for the scaffold charge hand the chargehand identified that there were a couple of scaffold tubes handrails incorrectly fitted and the whole tower was leveled incorrectly he made the adjustments to correct this the chargehand then asked the question to the electricians are you trained to do the task the electricians stated that they were not trained to erect aluminum scaffold towers charge hand informed the electricians they should not be erecting the scaffold tower and would see his supervisor in regards to getting a scaffold crew to erect the tower or erect a tube and fitting scaffold scaffold chargehand and his supervisor returned with the electrical supervisor to try and resolve erecting the scaffold tower the electrical supervisor informed the scaffold supervisor what the purpose of the tower was to be used for installing cable traysupports scaffold supervisor informed that the tower would be inadequate and a tube and fitting scaffold would be the better option this was left with the electrical supervisor to follow procedure in requesting a tube and fitting scaffold to be erected the following morning the clients representative noticed that the aluminum tower was fully erected not tagged an inspection took place with the outcome of the tower being erected incorrectly it was also noted the way the scaffold was erected there was the potential for an lsr violation scaffold do not use tag place on tower and area barriered off,0,1
two individuals accessed shinfield park without prior authorisation on the morning of saturday 4th july two members of wood accessed shinfield park office without prior permission access to shinfield park is in the process of being removed for all personnel who are not on the return level one however due to issues with the it access software one of the individuals passes was still activated and therefore the individual provided access for both individuals even though they were not approved for access on this particular day both individuals were informed about their actions in failing to properly apply the a process of entering the building without prior permission,0,1
a piece of formwork has been found near the vdc tower a piece of formwork was found during an inspection within the exclusion zone of the vdc tower the wood was positioned with fixing plugs up the piece was discovered after the day work has been completed by the contractors and the permit to works has been returned to the issuer the piece has been removed from site,0,1
wgis painting operative working direct for the client accessed a unprotected dock ledge exposing the operative to a potential fall incident 34228wgis painting operative paul davenport pd has been working direct for the client babcock for the duration of the rah project pd had been working under the clients procedures and wasunder the direct control of the client therah straddles the full width of the dry dock and will be used for refuelling submarines during their deep maintenance periods the layout of the dock has a ledge sitting one 5m down from the dockside which runs the full perimeter of the dock the height from the ledge to the dock bottom is approx forty pd has been working on preserving the under deck area on and off for the past few months all the under deck had been completed apart from the north east corner with other trades keeping it from being completed on the day of the incident the client had instructed pd that the area was clear for him to complete the final section pd went to the work area and requested a hoover so the swarf could be cleared prior to represervation the hoover was passed over the dock handrail by another operative pd then climbed over the handrail of the rah and stepped onto the dock ledge and retrieved the hoover from the side what pd had failed to notice was the scaffold handrails that had been fitted to the dock ledge had recently been dismantled as part of the ongoing scaffold works it was at this point he was challenged for being on an unprotected edge investigation is ongoing and as the investigation progresses cairs information will be updated see detailed description,0,1
damage to jlg while operating a jlg a team member got the boom of the jlg caught on the inside of an ibeam causing a bracket to break free from the boom hose guard jlg was tagged out of service vendor called to replace lift,0,1
handrail of a scissor lift was bent with a welding lead team member had to reposition a scissor lift under the surge tanks as the scissor lift was moved it rolled over the welding lead that was tied off to the handrail of the lift the team members stopped with the tire of the lift still on the welding lead the team members began to elevate the platform and while going up the lead bent the hand rail down there are no injuries reported with this incident team member descended and tagged the welding lead and scissor lift out of service,0,1
"dot violation noimproper breakaway emergency braking system did not work incident 32068on one million, sixty-two thousand and seventeen at one thousand, four hundred and forty-four driver was tasked to pick a bomag roller in casper wy utilizing company truck p1151 and flatbed trailer e1548 as out driver was leaving the yard in douglas wy and entered interstate25 he was pulled into a level one dot by wy highway patrol during the inspection the driver was cited for noimproper breakaway system emergency braking did not work driver stated that he did perform his pretrip inspection but failed to check the breakaway trailer was brought to the greeley shop and tagged out until repairs have been made see detailed description",0,1
a mechanical crew were executing a strainer removal on the antisurge valves during l1 servicing while removing the strainer on tr2 mr3 mixed refrigerant three a personal gas detector picked up ten lel concentration incident 30125refer attached report two wg trades assistants from the maintenance team were requested to assist with a task to be undertaken by a client team although the pair challenged the work team supervisor regarding the location of the equipment to be worked on due to a seriesof misunderstandings oversights and failures to follow procedure in combination with communication failure a leak occurred fromamixed refrigerant line alarming gas detectors client intervention occurred resulting in the piece of equipment being returned to its original statethrough the replacement of all bolts and a safety stand down was initiated followed by a taproot investigation into the incident where the two wg personnel were interviewed and then took no further part in the investigation see detailed description,0,1
other fall to lower level less than six feet an employee opened a rail car that contained sulfur and was possibly exposed to sulfuric acid vapors the employee either jumped off the rail car or fell off the rail car the employee was not wearing fall protection or a respirator the employee was taken to the hospital,0,1
worker observed without appropriate fall protection what happened nobody gets hurt card ngh received highlighting near miss where a worker was seen at height above one 8m without appropriate wah fall protection an intervention took place to stop the work task action being taken angore hse coordinator conducted investigation into the ngh card which was received to establish the facts of the observation action being taken angore hse coordinator conducted investigation into the ngh card which was received to establish the facts of the observation findingsthere was no risk to the assistant scaffolder at anytime during the dismantlement of the scaffold he was 7m from an unprotected edge,0,1
"bcll ratchet strap that was supporting jb box fell from crane boom hitting individual on the shoulder area the ip was not working under a suspended load incident 31329on the 11th september two thousand and sixteen at approximately one thousand, three hundred and forty-five on brent charlie a small ratchet strap that was temporarily providing additional support to a junction box on the east crane boom wore free and fell hitting individual on the backshoulder as he was carrying out his work on the power generation scope within the pipe deck job was stopped crane boom placed in rest position and individual attended medic for treatment to injury ice pack and pain killers were given and individual returned to normal working duties investigation on going within the platform see detailed description",0,1
"subcontractor was observed not wearing fall protection while working above four from ground level on eleven million, two hundred and forty-two thousand and twenty at approximately seven hundred and twenty am a subcontracted employee was completing an oil change on the top deck of an excavator above four client policy without fall protection violating a life saving rule according to the witness the employee reachedleaned through the handrail with half of their body protruding through the outside of the handrails as they secured a bungee cord on the cab side of the equipment no injuries were sustained by the employee the actual severity rating for the incident is classified as an b1 as the individual did not sustain any injuries the potential severity rating is a b3 due to the potential loss time injurysignificant health effect that could have resulted from a fall while contacting the excavator site field personnel issued a stop work authority the employee was asked to come down to ground level wood hsse and subcontractor supervision were notified incident investigation protocols were initiated",0,1
"unauthorised removal of a redundant vessel incident 40246at approx 11am on one hundred and eleven thousand, two hundred and eighteen a wood employee entered a large scrap metal bin via a metal ladder and removed a redundant mini air pressure vessel for personal use without authorisation the metal bin was approx six thousand and seventy-five full and located in a designated laydown area for scrap material at the caltex lubricants production facility the mini pressure vessel was removed using a mobile nonslew crane and loaded onto a truck where it was transported approx 200m back to the work site at the caltex terminal facility the job took approx 15minutes to complete after lunch at approx 1230pm the wood work team at the work site was approached by lubricants personnel where discussions where held regarding safe systems of work processes and authorisations involving the removal of the mini pressure vessel from the scrap metal bin the previous day a crane lift activity for wood had occurredapproximately five metres away from the metal scrap bin but on the opposite side of the boundary fencebetween caltex lytton terminal and lubrication facilities without incident the pressure vessel was unloaded by hand following the intervention and an investigation of the incident commenced see detailed description",0,1
two workers observed on roof of container without fall protection incident 33514late entry due to clarification from client of stewardship direct supervision was provided by the client with associated risk assessments and documentation twomaintenance employees were sent by client supervision to patch holes on the top edges of a twenty long container that was eight five tall however the supervisor did not go with the workers the personnelutilized a ladder to patch existing holes after observing the top of container and without returning to consult with the client supervisor they decided to get on top and inspect the rest of the container for other possible holes they did not have fall protection on and while inspecting the container top they realized the hazardous situation and came down to don fall protection equipment additionally employees donned harnesses that were not in the inspection program and returned to top of container to finish the original task the work was being conducted in a two permit area with the use of a jsa that contained insufficient details to address the hazards associated with the task a critical work permit should have been raised prior to conducting any work that met wah criteria potential hurt severity level l02 irat two hundred near miss how bad could it have been significant physical body damage could have occurred if one of the workers fell to the ground covered with loose gravel contributing factors delegation of responsibilities without clear instructions and proper planning scope of work changed and crew continued working without recognizing the hazards work continued without being permitted and ptw review would have flagged fpe requirement positive behaviours during the course of executing scope change persons recognized the hazard associated with the task stopped the job and proceeded after donning fpe openly and honestly participated in followup investigation discussions accepted external interaction from two observers root causes human performance difficulty procedure not used not followed work direction no supervision at work site but should have been followup actions one disciplinary action was issued in alignment with the fair play model two seriousness of the outcome to be widely communicated to ensure expectations are known three workers to be retrained as deemed appropriate see detailed description,0,1
wood employee left and reentered site without the possesion or use of his electronic site access pass a wood semiskilled operative had been given permission to leave site by the wood pm on return to site the wood employee informed the wood pm that he had forgotten his pass the wood employee explained that there was maintenance work being undertaken on the outer security barrier and that it was in the raised position the wood employee was able to leave site without scanning his security pass which would have logged him off site the investigation is still pending as cctv footage being sourced by cf to aid the investigation on how the wood employee was allowed to reenter site the wood pm contacted the cf ehs manager to report the incident the wood pm immediately spoke to the wood employee and explained the potential consequences of his actions in respect of a comah incident occurring whilst he was off site and the ert team searching for him the cf ehs manager and wood pm have requested the cctv footage from the cf gatehouse for review,0,1
rail stops failed to stop the gantry travel employee was doing a drive around to ensure the gantry would be sufficient for the work which was to be performed during the drive around the employee was moving the gantry to the stops as he approached the stops he noticed one of the subcomponents off the side of the monorail had made contact with the opposing structure and bent the gantry was tagged out of service and the employee reported the incident immediately to safety the damage was minor and will be repaired easily a pinch point concerning personnel was not possible based on the swing height of the gantry being well over eight feet in the air,0,1
during client permit audit wg e i technician was observed by client operations engineer not wearing any hand protection during troubleshooting of electrical motor and loosening of small screws incident 31346wg e i technician together with client electrical supervisor were troubleshooting a vacuum pump electric motor phase failure wg e i technician had removed the electrical junction box as wg e i technician was loosening the motor power electronic module screws client operations engineer who was performing a permit audit of this particular activity had observed that wg e i technician was not wearing any hand protection during removal of small screws however client operations had noticed that wg e i technician had donned leather gloves prior handling those small screws see detailed description,0,1
"dot violation noimproper breakaway or emergency braking incident 33557front range eps driver was pulled over for a roadside dot inspection off of highway thirty-four near greeley co on 03242017at approximately one thousand, one hundred and three inspection revealed that the driver had his emergency breakaway cable cuttied in knots for improper repair trailer was immediatelybrought to thegreeley yard and put out of service the breakaway cable was replaced immediately see detailed description",0,1
cp20210080 nmg fournier lsr breach working at heights two workers were installing a permanent lifeline on top of the trailer roof one worker was on roof with fall protection not connected to an anchor point and the other worker was on a ladder approx 9ft high without fall protection on this incident was deemed a violation of woods life saving rule relating to working at height the actual rank of c1 was selected because two workers were placed at risk of falling all though no injuries were sustained the potential was ranked at c4 as two workers were at risk of serious injury in the event of a fall work was stopped and workers descended to ground contractor supervision and safety were notified incident investigation initiated,0,1
"damage to vehicle door from wind a door on a client supplied light vehicle was damaged as the driver was exiting the vehicle in windy conditions at the process unit the driver was a wood e i employee a gust of wind caught the door as it was opened and dislodged the strap causing the door hinges to be out of alignment as a result this has allowed the door to overextend and hit the guard on the car body causing minor damage refer to photo one vehicle was quarantined and tagged out of service after the supervisor was notified of the incident quotes were obtained to repair damaged door estimated cost to repair the damage was approx one thousand, six hundred aud",0,1
low impact mva a wood e i employee driving an electric buggy ecart was involved in a low speed 5kmh motor vehicle accident on site the driver was attempting to park the buggy front first when it struck a bicycle rack located at the front entrance to the main e i workshop at wynnum gardens the buggy approached the workshop entrance at low speed less than 5kmhr and as the driver applied brake to park their foot pressed the accelerator and brake pedals together causing the buggy to lunged forward approx 1m and strike the bicycle rack in front no injuries were reported and the buggy sustained minor damage to the front passenger side guard the buggy was tagged out of service and the driver returned a negative test result from a post incident drug and alcohol screen the driver was returning to the workshop with electrical parts and was travelling alone when the incident occurred driver reported the incident immediately to their supervisorthe buggy was tagged out of service driver presented for a post incident drug and alcohol screen and returned a negative test result repair assessment to be undertaken,0,1
other fall to lower level unspecified while climbing an external ladder on a rail car an employee fell to the ground and sustained a broken right femur,0,1
crane operator hit the fpso machine room vent at main deck while returning crane boom to nest after an unauthorized test no victims wood crane operator decided by himself to perform a test on the stiff leg crane after maintenance without a work permit he moved the crane boom to the right above the interferences which include the machine room vent and when was moving the boom to the left to return it back to the nest he hit the vent tip metal piece approx 300kg making it to disconnect from the vent and fell down approx 1m close to the escape route there were no people close to the point in a 10m ratio so there were no victims the potential b3 was chosen as the piece fell down close to a escape route and the area was not isolated the crane operator informed the oim about the incident with no victims the area was isolated the vent was fixed and the crane operator received a warning letter from the oim,0,1
"articulating off road haul truck partially rolled onto its side as it is designed to do causing damage to the front fender no injuries at approximately one thousand, six hundred and thirty crew was loading out material on the slope and taking it to the north fill area equipment involved in this incident was a john deere 260e articulating off road haul truck per the typical operation that had been performed throughout the day the truck was loaded at the cut area ne to the building pad once loaded the operator drove the truck to the north stockpile and attempted to position the truck to dump by turning then reversing to the stock pile where material was to be dumped in this process of turning in combination with the soft ground the machine partially rolled onto its side per the articulating design the operator was not injured and removed themselves from the machine machine was safely uprighted and observed damage to the right fender machine was tagged out of service until mechanic was able to inspect the following day incident was reported to hsse and investigation began immediately",0,1
a hoist stopped working when the cable became bound up around the drum at approximately one hundred pm on tuesday february 8th an operator was using a shaker hoist assembly to assist in offloading coal from train cars as the operator attempted to raise the shaker it became sluggish and eventually stopped responding to raiselower controls the cable was discovered to be damaged and birdnested around the drum an actual severity of a1 was determined as the cable failure did not because further damage or injury a potential severity of a2 was selected as the cable failure could have caused the shaker to fall potentially damaging itself and a train car below no potential for the shaker to fall on personnel or because injury was identified as no employee had worked directly under the shaker that day and normal operations do not typically require them to the nearest employee was the operator who was in a booth approximately thirty ft away work in the area was stopped and the area below the shaker was barricaded chain falls were attached above the shaker to hold the weight and prevent cable failure shaker and hoist tagged out of service until cable can be replaced by vendor,0,1
other fall to lower level eleven to fifteen feet an employee was installing wood blocking on a south elevation parapet wall while completing the task the employee climbed through a guardrail system to access the security fencing area on a roof at an inmate recreation yard the employee fell through the fencing and the employee fall protection rope snappedtore the employee landed on the concrete floor about fourteen feet below suffering a broken rib and a fractured hip,0,1
cable support fell to the ground boilermaker was tasked to remove the cable support bracket he instructed his assistant to remove the bracket after the assistant removed the two window clamps he placed the bracket on a beam whereby it fell to the ground as it fell to the ground it deflected on numerous ledgers of the scaffold the initial elevation of the beam is 6meters above ground the last known deflection is two meters above the ground the estimated weight of the support bracket is four kilograms it landed inside the scaffold area which is an exclusion zone hence no employees was nearby the area where it landed one incident reported to hsse department and to mdm as per procedure two internal investigation into the incident was launched three internal section stop fix four stand down with the team was conducted,0,1
failure to follow cse procedure incident 35937during checks of the permits to work for cse into tanks dgf26 twenty-seven twenty-eight and the crossbrace the ia noted the permit to work for the inspection work had gas test results entered rather than sce permit following discussions between the ia and the work party it was unclear as to the status of the gas test sequence and as such the task was stopped and a tof held see detailed description,0,1
amecfw hse manager noted a length of fenceline had been removed by epc contractor while checking on security at wider opf area with client management it was observed that a length of boundary fenceline had been removed by contractors as part of their road constructiondewatering operations without authorization this leaves a gap in the boundary fence from the roadworks construction area giving access leading across several berms to eventually the opf bank unauthorized trespassing onto site does involve access through road construction area and thence across several pipeline berms however a residual risk remains and g4s is to immediately provide enhanced mobile security patrol out of hours to monitor area epc engaged to urgently restore fenceline using existing posts and panels further to west following outline of opf patrol road,0,1
a scaffolder agency employed on site to assist in adjusting fittings to expose contact points also removed integral components without authorization resulting in the structure being deemed unsafe incident 31908on 12th december an agency scaffolder was employed on site to assist in adjusting scaffold fittingsto expose contact points to allow surface preparation prior to painting the site supervisor briefed the scaffolder regarding the required works the location of the integral components was discussed whereby the site supervisor emphasized that there was no requirement to remove these at the end of the shift it was discovered that one of four integral components on each standard had been removed rendering the scaffold unsafe see detailed description,0,1
"wg owned intrinsically safe camera was identified as having a hairline crack in the front glass face camera has been removed from service and out of service caution tag attached incident 30219approx one thousand, seven hundred and forty-five the wg site superintendent identified the site is pixavi camera as having a hairline crack in the glass front face while in the site administration office nonoperational area the superintendent contacted the is camera manufacturer and was informed that a crack in the glass face would void the is certification an out of service caution tag was placed on the camera and it was remove from service approx one thousand, two hundred and thirty the superintendent notified the site team verbally and via email of the event and reminded them that the is certification was void and not to use the alternate camera on site immediate actions1 out of service tag was placed on the camera and it was removed from service two superintendent notified the wg site team verbally and via email notifying of the damage and need to use the alternative is camera investigation findings the because of the event is unknown however it is likely that the camera has been knocked into a solid object this bump may have occurred when the camera was in a workers pocket no one has been identified as causing the damage causal factorsworkplace environment the camera has been knocked into a solid structure resulting in a minor hairline crack this could have occurred while in a workers pocket preventive action site superintendent to tag camera out of service and communicate to the site team informing that the is certification is now void completed 18th april two thousand and sixteen see detailed description",0,1
employee accessed platform with missing handrailsgrating without fall protection employee was seen standing on an incomplete permanent platform approximately thirty feet in elevation that was missing handrails without the use of fall protection as the safety team members attempted to approach the employee to make contact he had already begun descending the ladder to the ground elevation the employee supervisor was immediately contacted and notified of the event the ladder accessing the platform had a barricade sign attached to it stating missing handrail open hole the employee stated that he read the sign but because it did not specify one hundred tieoff he proceeded to access the platform employee was immediately approached and the fall protection policy violation was discussed with the employee and supervisor management was notified of the event and the investigation was initiated the employee was terminated for violation of fall protection policy and removed from site red barricade on ladder access was replaced investigation to whyhow barricade tape was removed is still ongoing,0,1
subcontractor was witnessed driving with tailgate open whilst a load of chairs were stacked on the tail lift a second subcontractor was on the tail lift holding the chairs secure during this action incident 31881a load of chairs were being delivered by john brown caterhire ltd for the town halls at jml at around 150pm on the 8th of december an employee witnessed the delivery vehicle driving down the road along side jml with the tailgate open and an individual standing on the tail lift with a load of chairs this is unsafe practice see detailed description,0,1
