,category,text,dset,scores
41,covid,"the ip experienced discomfort on the left side of the torso when breathing the ip experienced discomfort on the left side of the torso when breathing, upon arrival at bata port the ip was taken taken directly to la paz clinic for further treatment and evaluation. the ip was admitted to la paz clinic for further evaluation and medication (antibiotics) administered.  a covid test was conducted which yielded a negative result.  further diagnostic tests will be conducted (x-ray on 3 jan 2021) after which the ip will be evaluated by the doctor to determine either a release date or further treatment.  the pm has ensured that the ip has access to a phone and has remained in contact.  the ip also has contacted his family.  the ip was released from the clinic at 11h00 on 4 january 2022 and will continue treatment in their home country.  contact to be maintained with the ip.  prior to resuming normal duties the ip is to provide a fit to work certificate.",ORGP,1
42,general injury,"other fall to lower level less than 6 feet an employee was using a step stool to place an item on a shelf when she fell, landing on and fracturing her left hip.",OSHA,2
43,"foot or leg injury, lifting or moving loads, vehicle incident general, head or face injury","struck by object falling from vehicle or machinery-other than vehicle part on april 7, 2015, an employee sustained a leg injury that required surgery after being struck by a wheelabrator rack while moving the equipment with an overhead crane.  the load shifted during movement, causing the rack to fall over and crush the employee's leg.",OSHA,2
44,hand or arm injury,"struck by swinging part of powered vehicle an employee was delivering mail when his right thumb was slammed in a sliding vehicle door, suffering a distal laceration. his right thumb was amputated.",OSHA,1
45,covid,ip tested +ve for covid-19 ip tested +ve for covid-19 line manager in contact,ORGP,1
46,"slips & trips, general injury","other fall to lower level less than 6 feet an employee was walking down stairs, missed the last step and fell fracturing a hip.",OSHA,1
47,hand or arm injury,injured by object breaking in hand  an employee was carrying a piece of glass (4' x 4') to a truck. when the glass was set down it shattered and lacerated the employee's right arm from his wrist to his forearm. the laceration required surgery.,OSHA,1
48,foot or leg injury,"caught in running equipment or machinery during regular operation an employee was building pit mast cylinders when his leg was caught between cylinder machinery and a moving part, suffering a contusion that required hospitalization.",OSHA,1
49,hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  on july 16, 2018, an employee was using an auto cutter when a part became jammed in the cutting hole. as he attempted to clear the jam, the cutting mechanism cut his left middle fingertip, resulting in a partial amputation. the machine was running and guarded at the time of the incident.",OSHA,1
50,"slips & trips, general injury","other fall to lower level, unspecified an employee was unscrewing track studs from the ceiling while standing on a bakers scaffold. the scaffold rolled and the employee fell to the concrete ground below resulting in a concussion and a dislocated shoulder.",OSHA,2
51,hand or arm injury,caught in running equipment or machinery during regular operation an employee was loading raw material into the ginning machine and amputated his hand at the wrist.,OSHA,1
52,"lifting or moving loads, hand or arm injury, line of fire","ro – incident involves contractor directly engaged by the client. equipment damage to temporary scaffold structure during lifting operation. migrated from legacy cairs incident #32033ro – incident involves contractor directly engaged by the client. equipment damage to temporary scaffold structure during lifting operation.the ib914 crew were lifting the counterweight from the propane marine loading arm on berth 3 at the karratha gas plant. the finger on which the counterweight was located was angled at 5 degrees from vertical. this required constant changes to the position of the crane boom to allow the counterweight to be floated free. when the counterweight was within 150mm of being clear of the finger, the position of the boom and load was checked by the riggers for the final time for any hazards, obstructions or risk of being over-boom. nothing was identified so they proceeded with the lift to free the counter weight from the finger. as the counterweight came free of the finger, the load swung out approximately 300mm and made contact with a scaffold standard and bent it approximately 10 degrees. this caused a slight movement of the scaffold structure. the structure was then inspected by the mgjv scaffold supervisor and found to be serviceable, however the free standing scaffold vertical standard (which extended approximately two metres above the structure) remained bent. no-one was in the line of fire, two riggers were on the scaffold at the time but stated that at no time felt that they were at risk. migrated from legacy cairs - see detailed description",ORGP,2
53,"slips & trips, general injury","fall on same level due to tripping over an object  an employee was walking down an aisle in the warehouse when he tripped over a shelving unit's end cap and fell to the floor, breaking his right elbow.",OSHA,1
54,"general injury, back injury","bending, crawling, reaching, twisting-single episode an employee was setting up an extrusion line and attempting to grab film when the employee strained the lower back muscles. the employee was hospitalized with a lower right-side back strain.",OSHA,1
55,weather related issue,"overnight high winds laid over one bay of a pre-manufactured steel building. migrated from legacy cairs incident #35836at approximately 06:20 superintendent received a phone call from the gc onsite that the pre-manufactured steel building was laid over as a result of high winds through out the night. as a result of this, the support structure/skeleton of bay 1 rested on the cooling station. there were no personnel in the area at time of the incident. migrated from legacy cairs - see detailed description",ORGP,1
56,weather related issue,"exposure to environmental heat an employee was working in the field, installing and overseeing the installation of a midstream flexible piping system, when he started to feel weak. he was hospitalized due to heat stress and dehydration.",OSHA,1
57,eye injury or irritation,"wood operative felt irritation to right eye and sought further assessment. migrated from legacy cairs incident #37758incident occurred at lucite international cassel works, new road, billingham ts23 1de on 9th april 2018 at 11:30.wood operative was working in e/i workshop and felt irritation to his right eye. falck services were called and checked over no foreign body found, further assessment sought at north tees general hospital no foreign body found and no treatment given. migrated from legacy cairs - see detailed description",ORGP,1
58,"foot or leg injury, lifting or moving loads, vehicle incident general","excavator and truck made contact, no injuries migrated from legacy cairs incident #34443excavator and truck made contact.excavator was turned when haul truck pulled in to be loaded. excavator turned to load haul truck, while turning, excavator's counterweight made contact with the front right side of the haul truck.no injuries occurred. migrated from legacy cairs - see detailed description",ORGP,2
59,general illness or health issue,"inhalation of harmful substance-single episode an employee was removing expired chlorine tabs from a dilution system tank that was shut down for maintenance. he was exposed to chlorinated water from a leak in the system, as well as wet chlorine tablets stored in a bucket during the maintenance. he reported having a heavy cough after his shift and difficulty breathing the next day and was hospitalized.",OSHA,2
60,"slips & trips, general injury","fall on same level due to tripping over an object  an employee tripped over the scanner cord she was using and fell to the ground, resulting in pain in her right shoulder and hospitalization.",OSHA,1
61,"hand or arm injury, slips & trips","fall from collapsing structure or equipment 21 to 25 feet  an employee had been disassembling a scaffold, working on the fourth tier. components being stacked on exterior outriggers caused a shift in weight, which led to the collapse of the scaffold's top section. the employee fell 25 feet and sustained a fractured and lacerated right arm.",OSHA,2
62,covid,a wood employee tested positive for covid-19.  a wood employee received a positive covid-19 test result on 8/2/2021.  the wood employee was experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.  ,ORGP,1
63,"slips & trips, line of fire, ppe non-compliance","employee's right middle finger was cut when a 3"" flange slipped off of a pallett and the employee attempted to stop it. employees was notified of a deliver in the main campus parking lot.  the employee was told by the driver that there was a pallet in the front passenger floor board that needed to be removed.  the employee noticed that several items had fallen off of the pallet and were laying in the floor board.  the employee stated that there was on 3"" flange on the pallet and as he reached to gather the other material on the floor board he bumped the flange causing it to move.  the employee attempted to stop the movement of the flange with his right hand.  the flange fell to the floor board causing the employee right middle finger to be in the line of fire.  the employee suffered a laceration to the right middle finger.  the employee reported the event to his supervisor and was transported to all-american where he received first aid treatment and was released to return to work without restrictions. the b2 potential was selected due to the ip not wearing gloves and had the potential of needing medical treatment beyond first aid.  employee contacted supervision and was taken to off site medical.",ORGP,2
64,"foot or leg injury, slips & trips","fall on same level due to slipping  an employee slipped on ice in the parking lot and fell, breaking a leg.",OSHA,1
65,covid,person tested positive to covid-19 on camp arrival.  person tested positive to covid-19 on camp arrival. required to isolate by at least 10 day required to isolate by at least 10 day,ORGP,1
66,burns,"contact with hot objects or substances on december 20, 2015, at approximately 3:30 pm, an employee was performing operation duties inside the cfb unit when boiler #2 failed, releasing hot steam and burning the employee.",OSHA,1
67,covid,11 contractor's employees diagnosed with covid-19 (additional case from cairs number 20212671) 11 contractor employees not feeling well and reported of sick as required. contractors contacted with local authority to send them to test rt-pcr on yesterday and result positive covid-19 today. #name?,ORGP,1
68,hand or arm injury,compressed or pinched by shifting objects or equipment an employee was helping to connect pipes. his right middle finger was caught and amputated between two pipes as they came together.,OSHA,1
69,"lifting or moving loads, vehicle incident general","forklift backed into a client owned buggy near the fgd storage tank. blastco employee was operating a forklift staging material in the alley between their material conex and the generator on the north side of the fgd storage tank.  while forklift was pulled into the alley,  lg&e employee drove his buggy into the area in front of the conex and parked unseen by the forklift operator.  the lg&e employee then exited the buggy and entered the tank where blastco employees were working.  with the buggy hidden around the front of the conex the blastco employee operating the forklift began to back out from between the conex and the generator.  with no visual on the buggy and no spotter in the area as he was backing out,  the forklift contacted the front passenger side of the buggy causing damage. forklift operator was taken for post accident drug screen. forklift was parked in safe location and buggy was returned back to in front of the lg&e offices",ORGP,1
70,foot or leg injury,"struck by falling object or equipment, unspecified an employee was moving a tool chest when it tipped onto his right leg, bruising it.",OSHA,2
71,back injury,"damaged electrical cord via insufficient ground migrated from legacy cairs incident #34728while welding miscellaneous steel in the shop, the welder had established a ground to the electric motorized roll-out wheels’ structural framing. as the employee transitioned to the adjacent fabrication table and struck an arc the ground was insufficient and amperage travelled back through the roll-out wheel ground wire in the cable where it was plugged into the wall outlet. the insufficient ground and amperage travel caused the roll-out wheels corded connection to be damaged. no other damage occurred. migrated from legacy cairs - see detailed description",ORGP,3
72,covid,indidivual tested positive for covid-19. individual notified line manager that he was feeling feverish after returning home from work on 30th september. individual was requested to remain at home and self monitor. individual requested to obtain pcr test on 3rd october. test result received on 4th october as positive. individual in home isolation.contact tracing undertook - no primary contacts identified.office disinfected.colleagues informed.four individuals requested to undertake pcr test as precautionary.,ORGP,1
73,competency,worker collided with scaffold bay on the south side of the site while reversing a dumper truck in a tight space. the worker did not have the required competency or certification tickets to be driving the vehicle.,MANF,1
74,covid,employee working with wbc tested positive for covid 19. ip was not feeling well on monday. employee working with wbc tested positive for covid 19. ip was not feeling well on monday and went for a test. positive result came back tuesday evening where he was moved to government facilities. ip was moved to government facilities. shell has been informed and all paperwork has been completed.,ORGP,1
75,"line strike, competency","a work crew excavating ground at the front of the site with a 6t excavation machine struck a buried 300mm underground storm pipe. the line strike caused the discharge of a large volume of water to excavated and adjoining area. the crew did not seek an underground services map for the area before commencing the work. the crew did not use a service tracker or perform a high-level evaluation of the site for existing services / storm routes / manholes, etc. the crew were relatively inexperienced and were operating in the area without senior oversight. recommend tool-box talk and safety briefing on the importance of following the correct procedures and protocols when excavating ground. provide 'safety moment' material from other incidents where line strike caused significant injuries or outages for use during the briefing sessions. overall awareness and competency for performing such dangerous work tasks should be improved. follow-up consultation planned for may-18.",MANF,1
76,general injury,"fall from collapsing structure or equipment, unspecified an employee was standing outside a trench when the side wall gave way. he fell into the trench and ended up on his knees with dirt up to his waist. he suffered hip and rib injuries and was hospitalized.",OSHA,2
77,vehicle incident general,"two cars drove across the pedestrian crossing whilst the traffic light was still red.  two vehicles crossing the pedestrian crossing whilst the light for the cars was still red. there weren’t any pedestrians crossing the road at the time, as they had crossed shortly before this, but the light was still red. the vehicles were coming from the direction of the roundabout by the spm building and heading towards the exit.i’m afraid i also couldn’t see the drivers from where i was stood and i am not sure about the makes or colours of the cars either. drivers of vehicles currently being investigated by security (reading office).  once individuals are identified, can be discussed with them.",ORGP,1
78,"head or face injury, back injury","other fall to lower level less than 6 feet on 5/11/21, four filler operators were performing a changeover on the filler. the injured operator entered the filler to change chucks using portable steps with a handrail. another operator was walking up and down the steps handing parts for the changeover. when the injured operator exited the filler using the seal of the door and stepped forward onto the portable steps, the steps slid causing the injured operator to fall back next to the filler. the injured operator hit their head on the filler door and then on the floor three feet below. the operator was hospitalized for a concussion.",OSHA,2
79,hand or arm injury,"injured by object breaking in hand  an employee and his maintenance team were preparing an apartment for a new tenant, which required removing a toilet. as the employee and a coworker lifted the ceramic toilet onto a dumpster, it hit the edge of the dumpster and broke, lacerating his right forearm. he was hospitalized for surgery.",OSHA,1
80,"foot or leg injury, lifting or moving loads","struck by falling object or equipment, n.e.c. employees were doing layout work in the building on the floor. they mark lines to know where to set equipment to make wire. the equipment was blocking the layout line. they lifted the bar to set up the equipment with a 2x4. the equipment became imbalanced and titled over on the injured employee, breaking his leg below the knee.",OSHA,2
81,"foot or leg injury, competency","a young and inexperienced site worker was using a circular saw to cut plywood on site on friday morning. the saw had its protective latch/cover removed to speed up the cutting of the plywood on site. while cutting the boards, that platform that was being used collapsed on one side causing the worker to loose his balance and fall to the ground with the saw. the spinning disc of the saw caused a cut in the knee of the worker. the worker was treated with first aid before being transported to accident and emergency department of james's hospital for treatment. he received 20 stitches for the wound and was discharged home.",MANF,1
82,back injury,"cp-2021-0104 mtc nanjv (consbec); sprained lower back due to tilting of milk crate on tailgate the ip attempted to tilt and slide a crate over the gap between the tailgate and the box of a truck. while the ip tilted and tried to slide the crate of 6"" drill bits (100lbs.), ip strained back. the ip was brought to the medic for assessment by the site physician assistant (pa). the pa determined further assessment was needed including x-rays at the timmins hospital. the doctor provided pain medication.",ORGP,1
83,"foot or leg injury, slips & trips","slip/fall occurred on the floor in the toilets after cleaning occured.  on entering the ladies toilets the ip slipped and fell onto her right hand and knee, the floor was wet. on entering the ladies toilets ip slipped and fell onto her right hand and knee, the floor was wet. the ip suffered bruising to hands and knees. ip statement attached.",ORGP,2
84,covid,one wood employee tested positive for covid 19.  one wood ee developed mild symptoms aboard gc 158 and tested positive for covid 19. ee was sent in for home quarantine and will monitor the condition. contact tracing is complete.  ee was isolated and sent in for home quarantine.,ORGP,1
85,"foot or leg injury, slips & trips","other fall to lower level, unspecified an employee tripped while going down stairs. the employee fell to the ground and suffered a broken ankle.",OSHA,1
86,covid,person had symptoms of covid-19 and subsequently tested positive person had symptoms of covid-19 and subsequently tested positive.  isolated to his room for the next 10 days.   isolated to his room for the next 10 days.  ,ORGP,1
87,"foot or leg injury, slips & trips",fall on same level due to tripping over an object  an employee was moving a patient on a medical table when they tripped over the table's wheel and fractured their femur.,OSHA,1
88,"foot or leg injury, slips & trips, fall from or working at height issue","employee partially fell through rooflight while performing inspection scraping his ankle and leg.  the employee was not using the available fall arrest system while performing the  inspection. after investigation, it became clear that the employee had not received the correct training in how to recognise fall hazards and dangers or to properly use safety equipment. ",MANF,2
89,"foot or leg injury, slips & trips","other fall to lower level, unspecified an employee was installing lights in a deli area from an 8-foot ladder when the ladder slipped and he fell to ground, fracturing both ankles.",OSHA,2
90,foot or leg injury,"caught in running equipment or machinery during maintenance, cleaning  on november 25, 2020, an employee was trying to reach an upper conveyor belt to fix a jam. the employee's foot contacted the moving lower conveyor belt and his leg was pulled between a metal support bar for the conveyor and the chain of the conveyor belt resulting in a broken leg.",OSHA,1
91,eye injury or irritation,"foreign body to the right eye. the employee was welding inside of a welding hooch just north of 102 furnaces.  another contractor working for ineos was taking the refract off the 102 furnaces.  as the other contractor was dropping a load of refract down the chute, the employee stopped welding, and flipped his welding hood in the up position.  the impact of the refract debris in the dumpster caused a cloud of dust of refractory debris to blow towards the welding hooch.  the employee was wearing spoggles at the time, but he felt a discomfort to his right eye as the debris cloud passed.   he immediately went to the nearest safety shower to his flush eyes.  after flushing his eyes, he reported the incident to his foreman, jose pereda, and contacted safety.  ineos cbw emt's flushed the foreign body out of the employee's eye in the wood plc., safety trailer.",ORGP,1
92,hand or arm injury,"caught in running equipment or machinery during regular operation an employee's arm was pulled into nip rollers while working at a drying rack, requiring hospitalization for tissue damage.",OSHA,1
93,bites (animals or insects),tick bite employee discovered a tick attached to upper thigh area after completing field work.  employee removed the tick and cleaned the area bitten. employee contacted supervisor and hse coordinator and reported incident. employee took photos of insect and location of bite. ,ORGP,1
