category,text,dset,scores
vehicle incident general,"a wood vehicle was damaged from debris after hours from a nearby tornado while parked at the client yard. on march 12, 2019 at approximately 10:30 pm an unoccupied wood vehicle was damaged by debris from a tornado that came through the area after hours. the wood vehicle was parked in the client yard se of andrews, tx. the debris from the tornado caused damage to the front end of the vehicle. reported to management and hse team. ",ORGP,1
"general injury, fall from or working at height issue","other fall to lower level, unspecified an employee fell into a ditch along the side of the road while walking outside a company vehicle. the employee suffered a right shoulder fracture and required hospitalization.",OSHA,1
"fall from or working at height issue, head or face injury, foot or leg injury","other fall to lower level less than 6 feet an employee fell down from the third rung of an 8-foot ladder while installing electrical wiring, sustaining a bump and laceration that required stitches to the head.",OSHA,2
"fall from or working at height issue, burns",contact with hot objects or substances an employee was using a step ladder to clean a vent hood over the chicken fryer. he lost his balance and stepped onto the fryer removing the fryer lid. his right foot went into the hot oil resulting in burns to his foot and ankle.,OSHA,1
lifting or moving loads,"late entry due to it outageon october 2, 2018 at approximately 1515 a nacap 2” pipe spooling slid down the hides hill at kp1.35 to kp1.5 striking a mobile squad (ms) light vehicle (lv).  no one was hurt. migrated from legacy cairs incident #39852on october 2, 2018 at approximately 1515 a nacap 2” pipe spooling slid down the hides hill at kp1.35 to kp1.5 striking a mobile squad (ms) light vehicle (lv). no one was hurt. nacap was repositioning a welded ten (10) section(98.83m in length, &amp; 1.23tons), of 2” meg line (spool) from the top of hides hill (kp1.2) to an open cut trench at kp1.5-kp1.8. a 1” steel pin, pin-locked in place at the front end of the hdpe sleeve(120m long)was to prevent the 2"" spool from sliding out.the back-end of the 6""hdpe sleeve was then secured directly a 8ton excavator with a 5ton 2m rated soft sling and a 16mm synthetic rope secured the 2"" pipe spooling to the hdpe sleeve, the front-end of the hdpe sleevewas secured with a 5ton 2m rated soft sling attached to a 27ton nacap excavator. as the spool was being dragged down the hill, the synthetic rope allowed the 2"" pipespool slidethrough, this caused an impulse-moment when the 2"" pipe spool slid down the 6"" hdpe sleeve and hit the 1"" retaining pin at the end of the 6"" hdpe sleeve. this impulse-moment exceeded the resistant force of the pin-lock, the retaining-pin caused it to tear through the hdpe pipe, and allow the spool to slide out of the hdpe sleeve, down the hides hill. at the bottom of the hides hill was a ms lv, the spool struck the lv tire and damaged the suspension. the spool then came to rest approximately 40 meters outside the brown field right of way (brow) corridor. there was no indication for d&amp;a and it was not taken. migrated from legacy cairs - see detailed description",ORGP,1
bites (animals or insects),"other animal bites, nonvenomous a letter carrier went up on a porch to deliver mail to a home when a dog came out of an open window in the screen door and attacked her, biting the left side of her face. a second dog also attacked, biting her on the right calf. the employee was hospitalized and required reconstructive surgery on her facial wounds.",OSHA,1
"hand or arm injury, general injury","ip's arm caught on broken light tube causing a laceration. a broken tube light bulb had been left in a bucket outside.  the bucket is normally used for disinfecting ecology equipment.  i was filling up another bucket next to the one with the broken light bulb using a hose pipe.  i moved my arm and caught the edge of the broken bulb which pierced the skin, leaving a cut on my left forearm. ip went to reception to use the first aid kit and used an antiseptic wipe, but there were not plasters large enough to cover the wound so i was given one by a member of staff who had her own personal supply.",ORGP,1
covid,wood employees tested positive for covid 19. wood employees tested positive for covid 19. some employees have mild symptoms while other do not have any symptoms.  employees are in isolation and following government protocols.,ORGP,1
"hand or arm injury, general injury, foot or leg injury, fall from or working at height issue, slips & trips","other fall to lower level, unspecified an employee was climbing down a pallet of material. she slipped and fell to the ground, breaking her elbow and twisting her ankle.",OSHA,1
"line strike, hydraulic fluid or oil leak, fall from or working at height issue, hand or arm injury","employee was struck with nitrogen and debris from a gas-lift  line on his left hand/wrist area when he attempted to remove a leaking ½” inch plug from a blind flange. migrated from legacy cairs incident #36309after discovering a leaking ½” plug on a gas lift line that was being pressure tested with nitrogen, the nitrogen source was turn off and employee attempted to bleed down the piping utilizing a needle valve. when the pressure was relieved at the needle valve he proceed to the area with the leaking plug, attempted to remove it and was struck on the left wrist with nitrogen and debris. employee was prescribed antibiotic upon the doctor’s evaluation. migrated from legacy cairs - see detailed description",ORGP,2
head or face injury,"contact with objects and equipment, unspecified an employee was repairing the broken bucket of a conveyor when the machine moved, lacerating the employee's head and fracturing his jaw. the employee was hospitalized.",OSHA,1
"slips & trips, general illness or health issue, foot or leg injury","allergic reaction to food a piping designer was leaving the organisation and arranged for samosas to be delivered to the office. the ip, another piping designer who joined wood recently, took an allegoric reaction to the smell of the food and left the premises after informing her co-worker. she drove herself to a pick up point and then proceeded to a&e. at a&e she became dizzy and fell over. the fall resulted in a small fracture to her left ankle. she returned to work the next day and informed her line manager (alan bradford, lead piping engineer) of what had happened to her. she has list of substances that she is allergic to however said she was embarrassed to discuss the issue. ip went to hospital and while waiting to be seen by a dr for the allergic reaction, felt dizzy and fainted. the ip was then taken to a bed and seen by a dr for the allergic reaction. once the ip had stabilized, was then seen by a second dr for the injury to the foot. the ip was discharged and returned to work the following day.",ORGP,1
"back injury, general injury, foot or leg injury","employee experinced pain in the lower side of left foot while walking at ground level. an employee experienced pain in the lower side of his left foot when he was walking at ground level and stepped wrong to avoid a piece of pipe. employee was taken to the onsite medical clinic where he was evaluated, treated for a muscle strain with first aid measures, and released back to work without restrictions. after returning to work on 6-9-20 from a 3 day weekend the employee stated that he was still experiencing mild pain. as a precaution the employee was taken to an offsite clinic for further evaluation. the diagnosis at the offsite clinic was the same as the on-site diagnosis and no further treatment was rendered. the employee was released back to work without restrictions.",ORGP,1
"line strike, fall from or working at height issue, competency","a work crew excavating ground at the front of the site with a 6t excavation machine struck a buried 300mm underground storm pipe. the line strike caused the discharge of a large volume of water to excavated and adjoining area. the crew did not seek an underground services map for the area before commencing the work. the crew did not use a service tracker or perform a high-level evaluation of the site for existing services / storm routes / manholes, etc. the crew were relatively inexperienced and were operating in the area without senior oversight. recommend tool-box talk and safety briefing on the importance of following the correct procedures and protocols when excavating ground. provide 'safety moment' material from other incidents where line strike caused significant injuries or outages for use during the briefing sessions. overall awareness and competency for performing such dangerous work tasks should be improved. follow-up consultation planned for may-18.",MANF,2
slips & trips,"ip tripped on a cable but did not fall ip tripped on a cable at the end of the meeting room table, but regained balance. the cable connected a piece of equipment on the  table to a floor box, but was routed in front of the table.  action taken cable removed and checked room for other potential trip hazards.",ORGP,1
"general injury, dropped object or material, lifting or moving loads","struck by falling object or equipment, n.e.c. an employee was preparing to install a piece of steel angle iron when it fell from the top flange of a beam, striking the employee and causing a shoulder injury that required surgery.",OSHA,2
vehicle incident general,"mobile elevated work platform (mewp) used for wah electrical workscope sunk into ground when carrying out centrica maintenance workscope for periodic inspection & testing on lighting and power circuits within lcp 2 barrow nmt- n4, a mobile elevated work platform (mewp) was used to gain access at height. to enable access for other road users, the mewp was parked part on the roadway and part on stoned chippings, when the two wheels positioned on the stone chippings began to sink (400mm into the ground). the operator lowered the basket immediately and turned off the engine and the area was cordoned off with barriers.   centrica arranged for lawson’s 80 tonne crane operating on site to carry out lifting operations to remove the mewp to safe area.  ",ORGP,1
hand or arm injury,"injured by slipping or swinging object held by injured worker an employee was operating a tomato slicer when she contacted the blade with her cut glove, resulting in a left thumb tip amputation.",OSHA,1
theft,"high voltage cable stolen from laydown area  approximately 185 meters of high voltage cable was stolen after thieves cut through the site laydown perimeter fencing  and removed 185 meters of cable from its drum scene of theft  secured, gent police informed and perimeter fencing repaired  ",ORGP,1
fall from or working at height issue,"during  a managers tour it was noted by the group that 2 scaffolds had deficiencies with access and toe boards.  on june 27th 2018 during a tour with management through th-1 scaffolds bulids in two locations were found with deficiencies 1. over the conveyour belt & 2. for accesss to the scafier magnet. both scaffolds were erected by issl a subcontractor of tkis. at the time deficiencies were noted no workers were on the scaffold and the green tag had expired as no work was required on the decks in recent days. as noted scaffold 1. over the conveyour was deficient in with a lack of toe boards, the work that had gone had previously occured on this deck was: inspection & sticker placement on a fire water line. verbal discussion regarding not allowing tools on the deck had occured with the fire water contractor & erector but this was not noted on the tag. it's been noted the access could have been improved by adding a ledger for additional fall protection at access/egress point. scaffold 2. erector relied on users using a 4 foot bay as fall protection to access a deck that reached 12 feet, erector recognizes additional ledgers in the bay would have provide further protection against a fall. scaffold was put out of service and an investigation was initiated.",ORGP,1
covid,person in quarantine tested positive for covid-19 person in quarantine tested positive for covid-19. required to isolate for at least 10 days.  required to isolate for at least 10 days.,ORGP,1
foot or leg injury,"during the dismantling of a scaffold in the roof b23, a worker twisted his ankle.  on december 21st 2016, during the dismantling of a scaffold in the roof of b23, a worker twisted his ankle. this happened because he placed his foot on a wooden panel laying on the floor for storage purpose.the event occurred at 15:30; the ip was taken into care by the hse amecfw who accompanied him to the gsk infirmary.the “first aider” sent the worker to the nearest hospital to have x-ray of the ankle.at 17:45 the ip was accompanied to the hospital by the hse supervisor of the company, together with amecfw hse supervisor and cm.the i.p receved his medical report at 18:30, in the report there aren’t  evidence of fracture or other physical damage.the following day the worker resumed its normal work without any restriction.   ip accompanied to the hospital for x-rays.",ORGP,1
lifting or moving loads,when driving in via gate 1 with a big mobile crane the barriere pole came down after badging in.  when driving in via gate 1 with a mobile crane the barriere pole came down after badging in. the crane driver did not notice that he passed the pole which was open at this time and when badging the pole came down and hit the mobile crane. security personnel asked the mobile crane driver to reverse on to the main parking to assess the damage no damage was visible on both crane or pole. reversed to check for any damage. no visible damage found by both parties irem/em security.,ORGP,1
burns,"contact with hot objects or substances while disconnecting a steam fitting from a railcar, an employee suffered thermal burns to the hands/arms from hot water that released from the fitting.",OSHA,1
"fall from or working at height issue, dropped object or material","dropped object - whilst conducting lifting operation the fly wheel pulley became detached from its support spindle, falling 3 metres. whilst conducting lifting operation for train 2 intercooler dome end in m5 module, when the rigger was pulling the gypsy chain, he felt it go light in his hands and the fly wheel (weight to be confirmed approx.. 1-2kgs) became detached from its support spindle, falling 3 metres onto a scaffolding platform, which is approximately and 8 metres above deck level. the lifting operation ceased immediately and the area / equipment assessed in order to determine if there was any immediate danger.  once it had been determined that the area was safe, liaison with the rope access team took place in order to gain access to the beam trolley to refit components, enabling the load to be traversed and lowered down to a safe position on the deck.",ORGP,1
"vehicle incident general, weather related issue",lid from wooden crate blew off and exited the yard striking a parked vehicle lid from wooden crate stored in the yard became detached during adverse weather and flew over perimeter fence striking a parked car causing damage to both the bonnet and roof of vehicle owned by a wood employee which was parked within the designated parking bays. area made safe and remainder of wooden crate broken down and secured on site,ORGP,1
head or face injury,"hitting, kicking, beating, shoving an intruder assaulted an employee and struck her head. the employee sustained head trauma.",OSHA,1
hand or arm injury,"caught in running equipment or machinery, n.e.c. at about 8:45 p.m. on february 6, 2019, an employee was operating a blow bagger. the employee noticed that the blender, which is operated in close proximity to the bagger, no longer had material flowing from the valve. the employee was investigating this issue and amputated his left hand in the rotating blade in the valve.",OSHA,1
"vehicle incident general, competency, site compliance or practice issue","employee was entering the south section of the site when he turned sharply off-track and drove over a free-standing conduit marker for an open land drain. the employee claims he did not see the marker and that he was in a hurry back from the storage yard with materials that were required from the day. the employee's driving was reckless and dangerous. his driving privileges on site have been revoked/suspended until he undergoes successful refresher (site driving) training and an eye test. only minor damage to the marker was recorded, no injuries were sustained.",MANF,1
"vehicle incident general, vehicle Incident involving animal","a wood group electrician was driving to the field on i-90 and hit a deer.  no damage to the truck and no injuries. migrated from legacy cairs incident #31601the wood group journeyman electrician was driving on interstate 90 east of buffalo, wyoming at pre-dawn hours. as he was driving, he sawtwo deer on the road and began slowing down. one deer was standing on the right shoulder and the other was in the right lane walking toward the left shoulder of the road. the truck was positioned to drive between the two deer, but the deer on the left turned and ran in front of the truck. the employee was unable to avoid hitting it. the deer did not cause any damage to the truck and there were no injuries. migrated from legacy cairs - see detailed description",ORGP,1
"slips & trips, foot or leg injury",wg employee was getting dressed in the morning at wg man camp and felt discomfort on his left inner thigh. as soon as he looked down a scorpion fell from his leg. axiom was contacted and first aid measures were appropriate for this incident. migrated from legacy cairs incident #34144non-work related incident; wg employee was getting dressed in the morning at wg man camp and felt discomfort on his left inner thigh. as soon as he looked down a scorpion fell from his leg.axiom was contacted and first aid measures were appropriate for this incident. migrated from legacy cairs - see detailed description,ORGP,2
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee was clearing product out of the cutting machine and amputated the tip of his left middle finger.",OSHA,1
"vehicle incident general, lifting or moving loads, competency, site compliance or practice issue","workers were moving materials by trailer and truck as part of the service metering project. while in transit the suspension of the trailer failed on one side, the load became unstable, shifted to one side and over turned the trailer. no injuries were sustained to the work crew. on investigation it was found that the suspension system on the trailer was designed for roadworks only and not suitable for the proposed off-road and heavy load transportation tasks. a visible pre-start check was completed on the day for the trailer and truck but it was not documented. this work was part of the minor works undertaken by the maintenance team. training was provided for 4wd as per tna but no training is currently required for trailers, in relation to hitching, pre-checks or load restraint.  no record found and not required under profile within contract training. nonetheless the incident was a result of lack of competency and supervision on site. the workers involved were inexperienced and working without senior supervision.",MANF,1
foot or leg injury,caught between rolling powered vehicle and other object an employee was loading a cinder block into a golf cart. the block rolled and disengaged the parking brake. the cart pinned the employee's leg against the pallet of cinder blocks and broke it.,OSHA,2
"slips & trips, foot or leg injury","fall on same level due to slipping  an employee arrived at work in the company parking lot and was getting out of her car. the employee slipped on ice in the parking lot and fell, resulting in a broken leg and hospitalization.",OSHA,1
"hand or arm injury, back injury","struck against moving part of machinery or equipment an employee was cutting down trim kit pieces with a mitre saw. the employee was holding the board in place when the blade came down. the board kicked back and pulled his left hand into the table, amputating his index finger (at the second knuckle) and the tips of his middle and ring fingers.",OSHA,2
covid,employee communicated a positive confirmation for covid-19 an employee communicated a positive confirmation for covid-19 as part of on-site voluntary testing. employee has been in self-isolation since date of participation of voluntary testing pending results. appropriate notifications have been completed. ,ORGP,1
"vehicle incident general, lifting or moving loads","preventable, personal vehicle, minor damage, no injury. wood driver backed personal vehicle into residential driveway and rear bumper struck curb/brick retaining wall, causing damage to the vehicle bumper. no injuries, no damage to curb. incident reporting initiated.",ORGP,2
"dropped object or material, general injury, fall from or working at height issue, slips & trips","ip tripped/slipped and as doing so dislocated his shoulder trying to break his fall. migrated from legacy cairs incident #30814backgroundwgpsn bp contract personnel are currently involved in operations on the bp mungo platform, where additional accommodation is being commissioned in order to both modernise and increase living space as required for use.having completed a drilling campaign at bp mungo, the ensco 101 jackup rig remains alongside to provide accommodation and facilities until bp mungo accommodation operations are completed.personnel involved offshore have access to either a locker room located on the bottom deck of ensco 101, or a locker area within a corridor near to a stairway leading to the galley. ip is employed by wgis as a rope access electrical technician (ltd co) and on saturday 9th july 2016 was engaged in work scopes relating to said accommodation operations.at the time of the incident certain ppe locker doorscould notbe closed or locked due to broken locks or lost keys, some had locks missing and most doors ajar. there are 42 lockers in this area, enough for all mungo personnel on rotation. some lockers have been “claimed” by individuals and are not available during that individuals field break which results in others requiring to 'live out of kit bags' stored on shelves or on the floor area.timeline10:00 11:50hrs ip was pulling cable in mungo ler.11:50 broke for lunch and transit across gangway from bp mungo to e101 locker area12:00 broke for lunch an at approx. 12.00hrs after removal of ppe went round corner from lower locker room to go upstairs, slipped on what seems to be a piece of shiny paper / cardboard form coveralls ppe packing, slipped on his right foot an on reaching out with left arm to protect fall has dislocated his shoulder, his colleague was close by and raised the medic 12:08 medic arrived on scene to treat ip12:12 ip transferred to sick bay - ip made comfortable, pain relief administered, coastguard helicopter mobilised, classed as a non-critical medevac.12:40 investigation initiated with e101 oim13:00 safety stand-down held with all mungo dayshift personnel prior to return to work14:45 coastguard helicopter arrived on e101 to transfer patient to aberdeen royal infirmary15:01 medivac departure form e10116:00 arrived at bond heliport and transferred to aberdeen royal infirmary (ari). case managed by paul guntril, wgis senior operations manager.18:00ip released from ari with shoulder re-set.n.b. as part of the investigation, it was unknown whether the piece of paper was dropped by ip, another individual or fell out of a nearby locker that was insecure.from wgis - given ip is a ltd co person and only suitably employed as a l3 rat, there is no alternative office job he could fulfill.updatewhilst at home a few days after initial treatment, ip was walking to the shop when he felt further pain to his shoulder. on examination, he appears to have dislocated it again.on 29th july, ip had an operation on the injured shoulder and will take time to recover through regularassessment by his gp.wgis have and will maintain contact with ip for welfare reasons. updates will be saved in the bp contract incident folder on g\ drive. migrated from legacy cairs - see detailed description",ORGP,2
hand or arm injury,part of occupantís body caught between vehicle and other object in nonroadway transport incident an employee was turning an electric pallet jack. the employee's left little finger was pinched between the pallet jack's handle and a hinge on a freezer door. the fingertip was partially amputated.,OSHA,1
"vehicle incident general, head or face injury, foot or leg injury, fall from or working at height issue, lifting or moving loads","pedestrian struck by vehicle in nonroadway area, unspecified an employee was walking through the warehouse going to lunch when he was struck by a forklift, suffering a broken ankle, concussion, and abrasions to the legs and arms.",OSHA,2
hand or arm injury,"caught in running equipment or machinery during regular operation an employee was tightening the packing bolts on a beam pumping unit in the oil field by using an air impact wrench when the head of the unit, while in a down stroke, came in contact with the impact wrench forcing it downward and mashing the tool against the left index finger. the employee sustained a partial amputation of the left index fingertip.",OSHA,1
"general injury, fall from or working at height issue, slips & trips, foot or leg injury","other fall to lower level, unspecified an employee was on scaffolding framing up a fur down (dry wall ceiling) and hanging sheetrock. the employee fell and was hospitalized for broken ribs and a leg contusion.",OSHA,1
"line strike, lifting or moving loads, competency","while excavating a trench over an existing buried services conduit, the bucket of the excavator made contact with the conduit causing a tear/damage approximately 6 inches square. the spotter was not paying attention during the task and did not give sufficient warning to the machine operator that the bucket was operating too close to the exposed conduit. on investigation, it was clear that the worker performing the spotter role did not have the required training/certification to perform the spotter task. investigation is ongoing. ",MANF,1
