category,text,dset
hand or arm injury,wgs mechanic got hurt on the thumb of his left hand by a hydraulic nut-runner . ip  he was holding with his right hand the joystick of the machine and with his left hand he was holding the machine at one time he was bothered by a falling of a piece of the glass wool that fell on his cost in wanting to remove it with his right hand the machine returned in his thumb; by immediate reflex the victim stopped the machine and he was evacuated to the infirmary to receive first aid. ip was evacuated to the infirmary to receive first aid.,ORGP
"foot or leg injury, hydraulic fluid or oil leak","hydraulic tensioning machine tensioning head pulled of stud as it was not fully engaged.  no injuries migrated from legacy cairs incident #30802work was part of the molecular sieve change out shutdown. work was on dehydrator bed 4task being undertaken was tensioning bolts on the outlet flange using a hydraulic tensioning machinework crew consisted ofclient senior mechanical technician,client maintenance technician 2 (original permit holder (ph), wg maintenance supplement labour x 2client maintenance tech 2 wanted to clarify the tensioning values on the bolts so left the worksite to verify in the office. bolts are in pattern a, b, a, b and so on. a bolts have a different tension value to b boltsclientmaintenance tech 2 left clear instructions to client sen mech tech and wg x 2 not to do any tensioning until he returnedclient sen mech tech ignored this instruction and the moved forward with the tensioning. wg personnel spoke up explaining they were not to work however they were ignored. during the task that followed, undertaken by client personnel only, one of the tensioning heads was not engaged properly on a stud and it pulled off resulting in the tensioning head dropping to grade (est 1m above, refer photos in attachment). minor hydraulic fluid leak also occurred.wg involvement as assistant labour to mechanical technicians. wg personnel were not operating the hydraulic tensioning machine. (l02nm, irat 100) migrated from legacy cairs - see detailed description",ORGP
non-work related injury or illness,"non work related - wood employee reported for work with pre-existing back related issue wood employee reported for work on wednesday 25th september, with a non work related pre-existing back injury. employee informed his supervisor that he had a pre-planned chiropractor appointment that same day. this was during his rostered day shift and was based on the best available appointment date. wood employee informed his supervisor that the back related issue was not work related and believed to have occurred during off shift time on monday 23rd september, sometime during the evening. the wood employee returned to work as normal on thursday 26th september, where the decision was made for the employee to have a follow up consultation with wood occupational health. the wood employee subsequently attended an occupational health assessment and was signed off work for the remaining 3 night shifts prior to his 18 days leave period. the wood employee will attend and back to work occupational health assessment prior to his next rotation.   nan",ORGP
hand or arm injury,"ip sustained a laceration to his left hand middle finger from the sharp edge of the generator control panel door. a worker had his hand resting on stand-by generator control panel access door, as he turned he sustained a minor cut from a sharp edge to the middle finger of his left hand. the worker was wearing hyflex electricians gloves at the time of the incident.  work stopped.incident reported to his supervisor and ip taken to the cuq medical center.",ORGP
hand or arm injury,"while holding the stakes in left hand, draper employee cut his left thumb.  incident occurred on april 17, 2019 at approximately 10:48am. draper employee, working in block 2 north, was using a machete to cut a fiberglass band off a bundle of survey stakes.  while holding the stakes in left hand, draper employee cut his left thumb. employee was seen by onsite medic and safety manager and instructed to seek medical attention from local clinic.  immediately remove all machetes and brush axes from siteimplement alternative method of clearing area for surveying ahead of surveying crews (investigating possible use of forestry mulcher ahead of survey crews)reinforce engagement of management with all employees on siteaddress inadequacies in existing training for standard operating procedures, and administer to employees",ORGP
"general injury, hand or arm injury, slips & trips","worker injured left pinky finger while performing lifting operations with a skytrack affixed with a jib attachment. migrated from legacy cairs incident #34794on 18 october 2017 around 1130 hours (central time) wood group safety was advised of an injury to daniel lefevre on the targa compressor station build for district 3.  safety was advised that the worker was rigging for the skytrack that was tasked to move a 10” i-beam from its current location so they continue build of supports. the skytrack was affixed to the forks with the jib attachment with a lifting hook on the bottom side. daniel had the skytrack move into position and was then giving the signals to the operator for the final movements to connect the hook to the i-beam. daniel had his hand on the hook at the time of the signal. when the operation was performed it caused the jib attachment to move in a manner that caused daniel’s left pinky finger to get pinched between the jib and hook and the end of the i-beam.  daniel noticed the injury and proceeded to the job trailer to advise supervisors and to get initial 1st aid of the injury. 1st aid was given to daniel on site to control the bleeding. safety was notified of the situation and advised that daniel had lost the end of his finger in the incident. safety advised that if daniel was stable to transport to williston and he felt he could make the trip that the medical facilities would be better to facilitate said injury. daniel stated that he would be fine to make the trip and was transported by supervisor to williston landmark occupational health. daniel was seen by landmark who advised that he would need to be seen by the hand specialist. landmark gave daniel a tetanus shot, took x-rays of the finger, prescribed antibiotics and phoned and talked with the hand specialist direct and advised us to go to williston er and check in and that the specialist would come see daniel once out of surgery which was supposed to be 3 hours from that point. landmark cleaned and wrapped the injury and released daniel to see the specialist with order of request paperwork and a cd copy of the x-rays taken. once at the williston er daniel checked in and the front desk was advised that we were checking in to see the specialist and she was aware of our arrival. soon after er personnel came and processed daniel into the er and started an iv to assist with the pain while waiting for the specialist to arrive.  the specialist arrived and advised daniel that she would in fact need to do surgery on the finger as to get enough skin to close the wound.  surgery was performed in the er room on the finger and stitched up. daniel was given 2 weeks of no more than 10lbs limit restrictions with left hand and advised by specialist that he would need to come back in 2 weeks and will be fine as long as no unforeseen issues arose and would be released to full duty at that time with no restrictions. doctor prescribed pain medication for daniel to help with pain. daniel was to keep the injury covered in the wrap the specialist applied for 2 days and after that daniel could just apply a fingertip style bandage over the area and clean the area with soap and warm water. -additional information- during the time of the incident daniel was wearing leather impact gloves. migrated from legacy cairs - see detailed description",ORGP
covid,wood employee has been tested positive to covid-19 wood employee had symptoms of a common cold and was swabbed on saturday 9 october. the swab was positive.  the wood employee is in isolation for 14 days as per local legislation.,ORGP
*** Not Classified,"ip became unwell on vessel and was medevaced off. migrated from legacy cairs incident #3836011.00am - duty manager received a phone call informing that ip had fallen ill over the last couple of days and will be taken to gilbert bain hospital by ambulance when the normand subsea gets alongside to drop him off.ip's wife and line manager had also been informed of the incident.22:00 vessel arrived lerwick and ip was taken to the hospital at 23:17. contact was made with the hospital and confirmation received by 2:00am that ip had been admitted into the hospital. 16/07/18, 8.00am, ip has been transferred to ward 3 and is in a stable condition. arrangements are being made to transfer the ip to ari, once bed space availability is confirmed. ip's wife and p&amp;o have been informed of the situation. migrated from legacy cairs - see detailed description",ORGP
"hydraulic fluid or oil leak, vehicle incident general, fuel spill or leak","a wood side load garbage truck experienced mechanical failure with hydraulic system causing approx 90 gallons of hydraulic fluid to spill  freeport police department observed a substance later identified as hydraulic fluid on the roadway at fm 523 and cr 107.  the police department contacted dow security and they were able to help in the identification of the cause of the spill.  the cause of the spill was from a wood side load garbage truck that experienced a hydraulic system failure while leaving freeport welding at the intersection of cr 107 and fm 523.  the wood driver was unaware that there was a failure and continued to travel north on fm 523 to hwy 332 and onto dow b-5100 block.  the spill stopped at the fm 523 intersection and dow levee road.  approximately 90 gallons of hydraulic fluid was spilled to the roadway. crews from the wood civil group and wood safety and enviromental departments responded along with local first responders, tex dot and dow security.  the scene was controlled and the clean up began at 3:00 pm.  all roadways were closed and emergency responders from wood were contacted to begin assessment and clean up. roadways were released back to public as clean up progressed ",ORGP
slips & trips,an employee was grazed on the upper arm by a 70x4 electrical cable while employees were in the process of removing redundant cable.  while in the process of removing redundant cable an employee's arm was grazed by the cable as it fell to the walking platform. it is suspected that the employees that were supposed to support the cable as ties were cut were not supporting the cable. 1. a stand down with the team was conducted and the incident was discussed with them.2. the risk assessment was amended and updated to address the issue and was briefed to employees.,ORGP
*** Not Classified,"first aid case - liquid splash to eye. migrated from legacy cairs incident #30109whilst placing pressure calibration pump onto shelf in instruments workshop, plunger depressed which ejected and unknown type of fluid into the left eye. person wearing safety spectacles at time. fluid had gone over the top of spectacles and run down into eye. it is though that thefluid was water, however this cannot be confirmed.reported to medic who flushed his eye and the ip returned to work immediately. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"incorrect hydraulics found isolated for work on lintott panel whilst preparing to conduct the tbt prior to a task for instrument work on the j44 lintott panel, it was discovered that the isolations had actually been applied to the j33 drawer. the hydraulic system valves for each well are numbered the same, and there is no marking on the individual valve to identify which well it refers.note: actual/potential rating is approximate at this stage. the incident is currently under initial investigation by cnooc - a/w updated information from client. stopped work and contacted lead technician.",ORGP
"eye injury or irritation, head or face injury","foreign body to the right eye. the employee was rolling back some welding lead.  as he was removing the lead from the “tree” some caked on mud fell off the lead.  due to the fact the employee was looking up at the lead, the caked on mud struck him in the face and a speck of dirt went into his right eye. ineos job representative and ineos operations were notified.  employee's right eye was cleared of the speck of dirt by use of irrigation.",ORGP
covid,a psns employee tested positive for covid 19. ip is feeling well but has lost sense of smell. a psns employee tested positive for covid 19. ip is feeling well but has lost sense of smell. ip has not been in the office since april. ip is under isos guidance and is subject to retest in 10 days.,ORGP
"covid, general illness or health issue",a 2nd wood worker was embarked  on pce-1. the ip disembarked and performed the covid-19 test with a positive result a 2nd wood worker was embarked  on pce-1. the ip disembarked and performed the covid-19 test with a positive result. the ip is symptomatic the employee is symptomatic such as headache.. the ip was kept in the hotel and will be sent home for a quarantine period.,ORGP
"covid, general illness or health issue",wood team member and his close contact tested positive for covid-19 ip experienced symptoms mild symptoms sore throat on the 4feb2022 which developed during next 2 days due to that employee remain home and reported that pcr test conducted on the same day that potential case was reported - 7feb2022. pcr test come back as a positive. contact tracing conducted with result of 4 individuals. pcr test came up positive for 3 out of 4. one pending. all individuals are fully immunized.  contact tracingtesting,ORGP
general injury,"cleaning operative struck hard hat on hatchway frame whilst ascending ships stair causing pain in neck. minor soft tissue injury, returned to work. migrated from legacy cairs incident #38044agency cleaning operative was ascending ships stair trunking and misjudged size of hatch opening. he struck his hard hat on the edge of the hatchway frame causing jarring to neck. ip continued through hatchway to deck level and felt pain in upper neck area, and reported event to supervision.the event occurred on the stairway trunking between decks 4 to 3, 'f' section on port side of hms queen elizabeth, at approximately 15.30 hours on friday 18th may 2018.ip was taken to local walk in medical centre and examined, diagnosis was minor soft tissue damage to neck ligaments and referred to own gp for pain medication if required. the ip was not scheduled to work on either 19th or 20th may (weekend) and reported for work as normal on monday 21st may at 0730. the ip was allowed to attend his gp from site at approximately 0930 and at approximately 1200 hours a text message from the ip was received by the operations manager at wood site offices stating that the ip was resigning from his post as cleaner with immediate effect. this was verified on contact with the agency that supplied the ip. migrated from legacy cairs - see detailed description",ORGP
covid,"wood employee tested positive for covid-19. wood employee was seen at on-site clinic monday, july 12th and quarantined due to symptoms.  employee followed-up with covid test on tuesday, july 13th and the test result returned positive for covid-19. - employee seen at on-site medical facility and quarantined from site per project protocol.- employee tested for covid (positive result).- contact tracing performed.",ORGP
"hand or arm injury, slips & trips","cut to left thumb ip was cutting vinyl cove base using a razor knife (folding) for asbestos sampling. employee was wearing nitrile gloves.  ip was holding cove base in left hand, went to cut with right hand and slipped, cutting left thumb/webbing.  wound required two stitches. on-site first-aid provided.  workcare also consulted. ",ORGP
"foot or leg injury, hand or arm injury",nonclassifiable an employee broke a leg while working as a floor hand on a well servicing rig.,OSHA
"foot or leg injury, hand or arm injury, fall from or working at height issue","other fall to lower level 11 to 15 feet  an employee was using a lift (most likely scissor lift) to remove plastic that was stuck on pallets when he lost his balance and fell 10 to 15 feet off the lift to the ground, breaking both wrists and shattering his knee. the lift was unguarded at the time.",OSHA
*** Not Classified,contact with hot objects or substances an employee was cleaning slag from a vessel containing molten copper. the slag and molten copper splashed onto the employee's left foot burning it.,OSHA
fall from or working at height issue,"other fall to lower level, unspecified an employee fell while going up a flight of stairs, suffering a lower back injury.",OSHA
"hazardous materials or work, head or face injury","inhalation of harmful substance-single episode an employee had been hauling and disposing of lime kiln filters while wearing dust goggles, hearing protection, steel-toed shoes, and a blue medical mask. about one to two hours after the process was completed the employee noticed irritation in his mouth and throat. the employee was hospitalized with irritation of the upper respiratory tract due to lime dust.",OSHA
*** Not Classified,"overexertion in holding, carrying, or wielding-single episode an employee was participating in a 3-mile march carrying a 45-pound pack as a work capacity test. he experienced labored breathing and lower leg cramps. he was hospitalized.",OSHA
hand or arm injury,injured by slipping or swinging object held by injured worker an employee was cutting flower stems using a manual guillotine cutter and amputated the left thumb between the nail and first knuckle.,OSHA
burns,"contact with hot objects or substances an employee was boiling pasta. when he reached to remove the basket of pasta, the steam kettle tipped and hot water burned his feet and ankles.",OSHA
electric shock or issue,"direct exposure to electricity, unspecified an employee was troubleshooting the baler machine. when he opened the electrical controller for the baler, he received an electrical shock to his right hand.",OSHA
"back injury, fall from or working at height issue","fall through surface or existing opening, unspecified an employee climbed a ladder to the top of the fitting room to fix a broken light cover. when the employee stepped onto the fitting room ceiling, the ceiling tile collapsed causing the employee to fall to the floor and fracture his t2 vertebrae.",OSHA
"foot or leg injury, slips & trips","fall on same level due to slipping  employee slipped on ice on the open grate steps by the wastewater facility. the employee's leg broke, and the employee required in-patient hospitalization and surgery.",OSHA
slips & trips,fall on same level due to slipping  the employee was salting the sidewalks and slipped on ice and fell resulting in a fracture.,OSHA
hand or arm injury,"other fall to lower level less than 6 feet an employee stepped upon a retaining wall to throw a parcel over a fence during a delivery. when she stepped off the wall, she fell and landed on the driveway, breaking her wrist.",OSHA
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee was working on a cyclone fan and amputated the tip of his left thumb on the blade.",OSHA
"lifting or moving loads, hand or arm injury","struck by swinging part of powered vehicle at about 6:00 p.m. on july 23, 2021, an employee was using a forklift to empty a pellet hopper into a roll-off box. the hopper bounced back and the employee's left index finger was pinched between the forklift fork and the hopper's channel iron base. the employee suffered an amputation to the finger.",OSHA
*** Not Classified,multiple types of overexertion involving outside sources an employee suffered an abdominal injury while shoveling soap stock into a drain. he was hospitalized.,OSHA
hand or arm injury,"compressed or pinched by shifting objects or equipment an employee was guiding a load of drywall onto an upper floor. his left hand was caught between the load and a wire rope midrail, and the little finger was amputated.",OSHA
hand or arm injury,compressed or pinched by shifting objects or equipment an employee and three other volunteers were lifting a children's climbing caterpillar (about 4 feet long) off two 2-inch posts. the employee's hand was caught between the caterpillar and a post. the tip of the employee's left middle finger was amputated.,OSHA
"dropped object or material, foot or leg injury, lifting or moving loads","struck by falling object or equipment, unspecified a temporary employee was loading a piece of furniture into the hopper of a garbage truck. a glass part on the furniture broke and severely lacerated the employee's lower right leg.",OSHA
hand or arm injury,struck against moving part of machinery or equipment an employee was performing a rip cut on a table saw and amputated two fingers on the right hand. the saw was guarded at the time.,OSHA
"head or face injury, slips & trips","fall on same level, n.e.c.  an employee was attacked by wasps while working from the first step of a ladder. the employee stumbled backwards and struck their head against a field tank. the employee was hospitalized.",OSHA
general injury,"nonroadway incident involving motorized land vehicle, unspecified an employee was operating a dozer when he was thrown out of the seat and into the roof of the dozer, fracturing his neck. a seat belt was not worn at the time.",OSHA
*** Not Classified,"caught in running equipment or machinery during maintenance, cleaning  an employee received second degree burns on the left hand while attempting to free an obstruction in an injection molding machine.",OSHA
*** Not Classified,"injured by slipping or swinging object held by injured worker an employee was using a chainsaw to cut wood. the chainsaw kicked back and struck the employee in the kneecap, causing a laceration.",OSHA
"mechanical or equipment issue, hand or arm injury","injured by slipping or swinging object held by injured worker an employee's hand was caught between a 4 x 4 and the reaction arm on a pneumatic torque wrench, suffering a contusion.",OSHA
hand or arm injury,"caught in or compressed by equipment or objects, unspecified an employee was unloading items from a forklift when his right hand was caught in the lifting mechanism, amputating the first digit of his index finger.",OSHA
general injury,"other fall to lower level less than 6 feet an employee fell off a step while leaving a cash register area, landing on the floor and suffering a broken hip.",OSHA
*** Not Classified,exposure to environmental heat an employee had been working outside moving baggage and was found passed out in the break room. the employee was hospitalized for extreme dehydration that caused kidney failure.,OSHA
hand or arm injury,caught in running equipment or machinery during regular operation an employee was trying to catch product coming off a conveyor when his fingers were caught between the conveyor and a metal bar under it. his left index finger was amputated.,OSHA
"head or face injury, vehicle incident general, slips & trips","nonroadway collision with object other than vehicle, n.e.c. an employee was transporting a podium to the field and sustained a head injury. the employee was in the back of a mule-type atv holding the podium, while another employee, drove the vehicle down to the field. while driving the vehicle down the ramp to the field, the injured employee hit his head on the bridge beam and fell out of the back of the vehicle. the employee was hospitalized for a concussion, cranial bleeding and a spinal fracture.",OSHA
"hand or arm injury, fall from or working at height issue","other fall to lower level, unspecified an employee blacked out and fell down the stairs, breaking the right arm.",OSHA
foot or leg injury,injured by slipping or swinging object held by injured worker an employee was cutting a piece of dealt paper with a box cutter when the blade cut through the paper and lacerated his knee.,OSHA
"foot or leg injury, bites (animals or insects)","other animal bites, nonvenomous an employee was attempting to deliver a package when two dogs charged at the employee after the homeowner opened the door. one of the dogs bit the employee's left ankle, injuring the achilles tendon. the employee was hospitalized and had surgery.",OSHA
eye injury or irritation,"direct exposure to electricity, greater than 220 volts an employee was cleaning and maintaining switch gears when an arc flash occurred resulting in burns to the employee's right arm.",OSHA
"foot or leg injury, slips & trips","fall through surface or existing opening, unspecified an employee was using a broom to push cardboard down the trash chute. he tripped and fell into the compactor injuring his knee.",OSHA
"general injury, slips & trips","fall on same level due to tripping over self employee was walking through the facility, tripped over her foot and fell. employee sustained a hip injury and was admitted to warren hospital.

",OSHA
"general injury, hand or arm injury",struck against moving part of machinery or equipment an employee was cutting frozen pork rib belly with a meat cutting band saw when the blade amputated his pinky finger at the knuckle.,OSHA
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee's gloved hand was caught in the rotation fan of a welder unit during repairs, amputating the thumb.",OSHA
back injury,"overexertion in holding, carrying, or wielding-single episode an employee was carrying insulation to a second floor when he injured his lower back.",OSHA
foot or leg injury,"pedestrian vehicular incident, unspecified an employee was struck by a utv while walking along a road on site, dislocating the employee's left ankle and fracturing the left fibula.",OSHA
hand or arm injury,"explosion of pressure vessel, piping, or tire two technicians were changing out a compressor on an hvac chiller. while preparing the chiller for a pump down, the compressor was over pressurized and the copper drain lines burst. as one technician approached the chiller, a piece of the copper drain line hit the technician on the left wrist. the employee was hospitalized.",OSHA
*** Not Classified,"exposure to environmental heat an employee was loading trash into the back of a truck. he began to feel cramps and was dehydrated. he was placed in an air conditioned van and given fluids, and was hospitalized when his condition worsened.",OSHA
"burns, fire, hand or arm injury","ignition of vapors, gases, or liquids an employee was replacing a furnace in a customer's home and was installing a pvc exhaust pipe.  the pvc pipe was to run directly over the water heater out the side of the home.  he set his pvc cleaner and glue on top of the water heater (chest height) as he put the exhaust together.  while installing the final piece, he cleaned the connection with the pvc cleaner and put the dabber back into the can. when he reached for the glue, he bumped the can of cleaner and it spilled on his chest.  he caught the can with his hand but the contents spilled on the floor. the water heater ignited vapors from the cleaner and a fire started, causing first and second degree burns to his chest, right lower arm, right neck, earlobe, left armpit, and both lips.",OSHA
"general injury, vehicle incident general, slips & trips","struck or run over by rolling powered vehicle an employee was attempting to fix a transmission issue in a box truck. he was underneath the vehicle when the transmission slipped out of gear and the vehicle rolled backwards onto him. as a result, he suffered broken ribs, scrapes to the side and buttocks, a collapsed lung, and bruises.",OSHA
hand or arm injury,caught in running equipment or machinery during regular operation an employee's right thumb became caught in a mixer he was operating and was amputated at the first knuckle.,OSHA
hand or arm injury,"injured by object breaking in hand  an employee was pulling a glass from the glass rack. the glass hit the counter and broke, severely lacerating the employee's right wrist.",OSHA
slips & trips,"fall through surface or existing opening, unspecified an employee walked into a storage closet and fell into an uncovered crawl space. the light was off at the time.",OSHA
"lifting or moving loads, foot or leg injury, general injury","collision between a moving and standing vehicle, nonroadway an employee was operating a forklift when she ran into a second stationary lift. the stationary lift's clamper entered the driver's cab and injured her right leg and hip.",OSHA
foot or leg injury,"compressed or pinched by shifting objects or equipment employee had leg pinned between agv-atl #35 and #37  (automated guide vehicle - automated truck loader), resulting in a left leg compound fracture.",OSHA
*** Not Classified,"caught in or compressed by equipment or objects, unspecified employee lost part of thumb in machine.",OSHA
hand or arm injury,injured by slipping or swinging object held by injured worker an employee was loosening bolts with a wrench. the wrench slipped and cut the employee's fingertip.,OSHA
"foot or leg injury, slips & trips","fall on same level due to tripping over an object  an employee providing play therapy at the park tripped over a playground-equipment post and broke a tibia and fibula, approximately 4"" above the ankle.",OSHA
hand or arm injury,"compressed or pinched between two stationary objects an employee was setting up his truck to be loaded. as he was stepping up to set up the first position on the tractor, his hand wrapped around a tied-down chain. when he stepped down from the truck, his right ring finger was caught between the chain and a prefabricated hole on the overhead truck ramp, amputating his fingertip.",OSHA
hand or arm injury,"contact with objects and equipment, unspecified an employee amputated the tip of his finger while moving a terrain park rail.",OSHA
hand or arm injury,"caught in running equipment or machinery, unspecified an employee was grinding glue off wheels on top of a corrugator machine. the employee's right index finger was caught between two of the machine's rollers, causing the amputation of the fingertip.",OSHA
"foot or leg injury, fall from or working at height issue, slips & trips","other fall to lower level, unspecified an employee was cleaning the tank on the back of a tractor. the employee stepped from the tank onto the tractor's tire, slipped, and fell to the ground. the employee suffered a broken leg and was hospitalized.",OSHA
foot or leg injury,"part of occupantís body caught between vehicle and other object in nonroadway transport incident an employee was driving a forklift toward a conveyor when he noticed an error light at the tote scanner. he traveled on the lift toward the tote scanning area to manually scan the tote in and clear the error. he attempted but was unable to slow the machine using the plugging method or the dead-man switch. he then attempted to exit the machine. in that process, he struck the racking and his left foot became wedged between the rack and the forklift. he suffered a broken left foot and deep abrasions.",OSHA
hand or arm injury,"compressed or pinched by shifting objects or equipment an employee dismounted a forklift to dump a hopper of scrap wood into a grinder stockpile area. he braced his left palm on the outside of the forks, which placed his left pinky in the path of the hopper channels where the forks were pre-positioned. when he moved the level to dump the hopper, the weight caused the hopper edge to drop and crush his left pinky fingertip, which had to be surgically amputated.",OSHA
"head or face injury, slips & trips","fall onto or against object on same level, n.e.c. on march 26, 2019, an employee slipped down an embankment, hitting a post and suffering fractures to the face.",OSHA
"back injury, fall from or working at height issue","other fall to lower level, unspecified an employee was climbing a ladder up the side of a truck. the ladder broke free, causing the employee to fall to the ground and suffer a broken pelvis.",OSHA
hand or arm injury,"caught in running equipment or machinery during regular operation an employee was using a full revolution mechanical power press to assemble a small component. the employee cycled the press using a foot pedal. the employee's left index finger was in the point of operation at that time, resulting in a fingertip amputation.",OSHA
hand or arm injury,struck against moving part of machinery or equipment an employee suffered an amputation to the tip of his left pinky finger while attempting to stop a v belt on an hvac system with his hand.,OSHA
weather related issue,"exposure to environmental heat an employee was setting up equipment at an electrical substation when the employee became ill and passed out due to heat exposure, requiring hospitalization.",OSHA
"foot or leg injury, fall from or working at height issue, slips & trips","other fall to lower level 6 to 10 feet at about 11:30 a.m. on february 17, 2021, an employee was clearing cardboard pieces from a flatbed truck. he began to slip on a piece of cardboard and jumped off the truck landing on the concrete surface about 6 feet below, suffering a right leg fracture above the ankle. he was hospitalized.",OSHA
hand or arm injury,"compressed or pinched by shifting objects or equipment on june 29, 2021, an employee was unloading materials from a flat bed truck using an overhead crane and a nylon sling. while positioning the nylon sling to hoist a stack of 6""x12' aluminum round bars that was on top of 5""x12' rectangular flat bars, the round bars shifted, rolled back, and pinned the employee's left middle finger between a round bar and a flat bar, resulting in a fingertip amputation.",OSHA
*** Not Classified,"direct exposure to electricity, unspecified after repairing a casing on a power line, an employee was making a connection to energize a distribution line. the employee was shocked, suffering second- and third-degree burns to the face and left elbow.",OSHA
fall from or working at height issue,fall from collapsing structure or equipment 6 to 10 feet an employee was stepping from an interstitial concrete landing 10 feet above the floor onto a 16-foot fiberglass a-frame ladder. he had one foot on the interstitial landing and one foot on the ladder when the ladder tipped sideways and he fell 10 feet to floor below. he fractured his left heel bone and left l4 vertebra.,OSHA
"general injury, slips & trips","fall on same level due to tripping over an object  an employee tripped on a plastic pallet and fell to the floor, fracturing her hip. she required surgery.",OSHA
"knife incident, hand or arm injury, slips & trips","caught in running equipment or machinery, unspecified an employee was transferring the material he was running from one spindle on a winder to another spindle when the cutting function on the machined failed to cut through the material. he crawled underneath the spindle within the winder and attempted to cut through the film with a knife. his hand slipped and then his left wrist was wedged between the film and the roller, resulting in bilateral wrist and finger injuries that required hospitalization.",OSHA
