tblID,IRN,IncidentNumber,IncidentDate,TimeofIncident,BusinessUnit,BusinessGroup,ServiceLine,Project,Office,Country,IncidentType,IsNearMiss,OSHAClassification,ShortDescription,ActualRating,PotentialRating,IncidentAssignedTo,Status,NeedIRP,ContractorName,WeatherConditions,FullDescription,ImmediateAction,HazardSource,IPOccupation,AgeProfile,Gender,DaysSinceOff,InjuryType,BodyPart,CauseOfInjuryIncident,WorkActivities,LSRBreached,BusinessUnitID,BusinessGroupID,ServiceLineID,ProjectID,OfficeID,CountryID,OtherIncidentAssignedTo,OtherInjuryType,OtherCauseofInjuryIncident,OtherHazardSource,OtherLSRBreached,IsWorkRelated,DateCreated,AuditDate,WasUpdated,DayofWeek,CreatedTimeStamp,LateReporting,JFCAction,OHdefinition,MTCcount,RWCcount,LTIcount,FAcount,lastUpdate,TransferTimeStamp,SourceFileName
31880,75818,20224747,2022-11-04 00:00:00.000,07:30,Projects,Renewable Energy & Power,Power Solutions UK,WPD OHL,750687 - Tamworth-Gresley,United Kingdom,Security/Asset Damage,No,,Between 17:30hrs on 3/11/22 and 07:30hrs on 4/11/22 approx. 6 aluminum trackway panels were stolen and a tractor ignition damaged.,A1,A1,Wood,Sent for Review,No,,Clear/Sunny,"at 07:30hrs on the 04/11/22 the Wood OHL team arrived to tower AE63 worksite, to find approximately 6 Aluminum access trackway panels had been stolen, & the Wood Plant tractor ignition had been damaged -and left running. as part of the theft a sign had been left behind by the theft party from the vehicle that was used in the theft. When the phone number on the sign was phoned, the building company it belonged to said they had a Transit crew cab pick-up stolen the night before (see attached photographs of the sign & Site). The location is difficult to see from the main road and was not noticed by the subcontract security company undertaking mobile patrols on Wood's behalf.","The Tractor was isolated, Wood management were informed. Sunbelt Trackway informed. Police were contacted and will call back with a crime number. Wood is going to bolster the security at this location with an additional Static security guard and groundhog type welfare unit. ",,,,,,,,,"No work activity being carried out at the time of the incident ",,13695,13704,13707,20055477,16580,194,,,,,,Yes,2022-11-04 00:00:00.000,NULL,0,Friday,2022-11-04 10:44:26.000,No,,,NULL,NULL,NULL,NULL,2022-11-04 00:00:00.000,NULL,CAIRS_Incidents.csv
31892,75830,20224759,2022-11-04 00:00:00.000,16:30,Projects,Process & Chemicals,Europe,"Petrom IPDHT Project ",Ploiesti Refinery,Romania,Asset Damage,No,,A fire fighting pipe was damage while performing drilling activity.,A1,A2,Sub-Contractor,Sent for Review,No,Zublin (subcontractor Strabag),Clear/Sunny,"On 04/11/2022 at 16.30 while Zublin (Strabag subcontractor) was drilling for the Berlinez wall on IPDHT project, a firefighting pipe (1.5meters underground), was damaged.","The Petrom operation at RC2 (permit issuer) and FALK services (Petrom emergency service provider) were informed about the incident. With the help of FALK personnel, the water pipe was isolated. The area was secured by Strabag personnel in order to start the reparation of the pipe next day.",,,,,,,,,"Excavation ",,13695,13700,13702,20059467,16838,143,,,,,,Yes,2022-11-07 00:00:00.000,NULL,0,Friday,2022-11-07 07:29:52.000,Yes,,,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31893,75829,20224758,2022-11-04 00:00:00.000,14:00,Investment Services,IS Central Function,,"Central Function ",SWS Reinstatement works,United Kingdom,Injury/Asset Damage,No,,"Collision during commute home from site ",B1,B1,Wood,Closed,No,,Cloudy/Overcast,"IP had left site to make journey home for weekend, they had approached the Bowhouse roundabout at Kilmarnock and came to a stop, while waiting in the queueing traffic a Vauxhall Movano travelling in same direction failed to stop resulting in vehicle striking the rear of the IP vehicle. ","Vehicle was driven to a safe point at side of the road where the appropriate details were given by the other driver. IP was checked out at Ayr Hospital on November 5th ",Vehicle/Mobile equipment,,,,,,,,"Driving ",,13391,13492,NULL,20056041,12455,194,,,,,,No,2022-11-07 00:00:00.000,NULL,0,Friday,2022-11-07 07:07:23.000,Yes,,,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31878,75820,20224749,2022-11-03 00:00:00.000,18:00,Operations,Americas,Canada & LATAM,Brasil - All Clients,FPSO Peregrino,Brazil,Occupational Health,No,,One Wood employee was detected as positive while in the hotel waiting for embark.,B3,B5,Wood,Sent for Review,No,,Not Applicable,One Wood employee was detected as positive while in the hotel waiting for embark.,Isolation and medical recommendation,Other,,,,,,,,Non Work Related,,13712,13713,13714,20056061,10338,211,,,,Virus,,No,2022-11-04 00:00:00.000,NULL,0,Thursday,2022-11-04 19:07:18.000,No,,Discrete,NULL,NULL,NULL,NULL,2022-11-04 00:00:00.000,NULL,CAIRS_Incidents.csv
31879,75819,20224748,2022-11-03 00:00:00.000,13:15,Projects,Renewable Energy & Power,Renewable Energy EPC,Algonquin Chevron Solar - Hayhurst Texas (HHTX),Tucker,United States,Asset Damage,No,,SDI employee stuck a test pile with the crew van.,A1,A1,Sub-Contractor,Awaiting Investigation,No,Sacramento Drilling,Clear/Sunny,SDI employee struck a test pile while driving on HHTX location. Damage was caused to the right front end of the crew van. The employee did not have a spotter at the time of the incident. No injuries were reported. SDI EE was sent to Xtreme MD for a post accident non dot drug/alcohol panel.,SDI took the employee for a post-accident drug panel. SDI site Management held a safety standown covering the use of a spotter and driving near piles. Wood HSE stated to SDI employees no one is allowed to drive vehicles in the pile area. All maintenance trucks will report to Wood HSE before entering pile area.,,,,,,,,,"Driving ",,13695,13704,13708,20059437,16737,195,,,,,,Yes,2022-11-04 00:00:00.000,NULL,0,Thursday,2022-11-04 12:29:11.000,No,,,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31872,75817,20224746,2022-11-03 00:00:00.000,09:00,Projects,Process & Chemicals,Europe,SABIC Teesside Improvement Project EPCm,SABIC TIP EPCm - Wilton,United Kingdom,Injury,No,First Aid,"Operative Strained Back, during Scaffolding Erection - Motional Movement resulted in muscle strain.",A1,A3,Managed Contractor,Awaiting Investigation,No,Kaefer,Cloudy/Overcast,"A Kaefer Scaffolding Operative was undertaking a Scaffolding Erection in Area DB of Olefins 6, During the Erection Process the Operative was working on the First Lift of a Scaffolding Structure, when the Operative bent down to pick up a Scaffolding Double Clip, the Operative felt a sudden pain to their lower back. The Operative was able to descend the Scaffolding Access Ladder, but was in excruciating pain, when attempting to walk. The Site Emergency Medical Contractor (Falck) was immediately contacted. Falck attended the Incident Location and performed an assessment of the Injured Person. Pain Relief was administered in the form of (Gas & Air). The IP was then escorted to their welfare facility, where arrangements were made for the Kaefer HSE Advisor to escort the IP to the Local Accident & Emergency Centre (James Cook Hospital) for a further precuationary assessment. ","The IP attended the A&E, where a precautionary X-Ray was undertaken. The Doctors have identified the Injury as being muscle related and IP was administered 2 x Co-codamol as pain relief. Observations identified the IP's Mobility improved. The Operative was issued with a prescription for Co-codamol and released from A&E. The Investigation has commenced, inclusive of witness statement gathering, medical declarations and history, whilst also assessing the worksite and task. At present the initial investigation has identified that insignificant load was being manually handled and the cause of the Injury is believed to have been from a motional movement.  ",Other,Scaffolder,40-44,Male,4,Sprain,Back/Spine,Repetitive motion/action,"Scaffolding ",,13695,13700,13702,20059401,16633,194,,,,Muscle Strain during Movement,,Yes,2022-11-03 00:00:00.000,NULL,0,Thursday,2022-11-03 20:48:46.000,No,,,NULL,NULL,NULL,1,2022-11-04 00:00:00.000,NULL,CAIRS_Incidents.csv
31890,75832,20224761,2022-11-03 00:00:00.000,11:00,Projects,Process & Chemicals,Europe,Madrid Office,Madrid Office,Spain,Injury,Yes,,Slip and fall on wet surface hall in Técnicas Reunidas (TR) Office building by a subcontractor employee,A1,B2,Sub-Contractor,Initiated,No,EUREST,Not Applicable,"IP went out through a door to the hall of the TR offices, when slipping and falling to the ground when its surface was wet (it was scrubbed). The near miss incident took place in PMC INEOS (Gorbea building), Técnicas Reunidas Offices - project 1 DD9245B.There was no wet floor signal or identification, to identify that the floor was wet. The IP received a first assistance by the TR doctor. At the first moment, IP has small annoying due to the fall, but any injuries.","The employee communicates the incident and it was given help if the IP needed, but it was not necessary. IP was fine.From Wood, we contact TR to understand the causes of the incident, such because the wet surface hall was not signalling and to prevent similar events could happen again.",Floor/Ground condition,,,,,,,,"Office Work ",,13695,13700,13702,20055664,7399,168,,,,,,Yes,2022-11-07 00:00:00.000,NULL,0,Thursday,2022-11-07 15:28:51.000,Yes,,,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31863,75811,20224740,2022-11-03 00:00:00.000,09:00,Projects,Process & Chemicals,APAC,Chonburi Office,Thailand Choburi Office,Thailand,Occupational Health,No,,"1 Subcontractor (Driver) of home office infected Covid-19 ",B3,B5,Sub-Contractor,Closed,No,,Clear/Sunny,"1 Subcontractor (Driver) of home office infected Covid-19. IP was isolated at home for 5 days. ","IP notified line manager and P&OIP undertaken home isolation for 5 days.Decontaminated the car ",Other,,,,,,,,Non Work Related,,13695,13700,13701,20055729,7418,180,,,,Covid-19,,No,2022-11-03 00:00:00.000,NULL,0,Thursday,2022-11-03 03:49:10.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-03 00:00:00.000,NULL,CAIRS_Incidents.csv
31864,75810,20224739,2022-11-02 00:00:00.000,06:30,Operations,Americas,US East,US East - Energy & Power,BREC - D.B. Wilson,United States,Injury,No,First Aid,Employee lost footing and strained/sprained back muscle.,B1,B2,Wood,Initiated,No,,Cloudy/Overcast,"Wood employee was entering the economizer through the 2ft-by-2ft man door. Upon entrance, employee lost his footing on dampers. Fell same level and landed on his left hip, back and leg.  Employee experienced discomfort in his back and leg and requested off site medical attention. Employee was evaluated and given a return to work.  B1 was chosen as the severity because the incident resulted in a first aid.  B2 was chosen because the incident could have resulted in lost time.","Safety stand down to cover incident with all. All jobs must be approved by safety and supervision before any work begins each day. Place plywood and secure plywood to eliminate uneven walking working surface inside economizer. JSA to reflect hazards with mitigations. Mitigations to be in place before work begins and verified by supervision. ",Floor/Ground condition,Welder,,Male,,Bruise/Contusion/Swelling,Back/Spine,Fall on same level,"Walking ",,13712,13713,13715,20055894,17125,195,,,,,,Yes,2022-11-02 00:00:00.000,NULL,0,Wednesday,2022-11-02 23:21:44.000,No,,,NULL,NULL,NULL,1,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31865,75809,20224738,2022-11-02 00:00:00.000,10:30,Operations,"Europe, Middle East & Africa (EMEA)",UK & Europe Operated Assets,SAGE,SAGE Terminal,United Kingdom,Injury,No,First Aid,IP received a cut to the bridge of his nose,B1,B1,Sub-Contractor,Awaiting Investigation,No,,Cloudy/Overcast,"The IP was working on C2202 at height. The IP was on a fixed platform and was leaning over side to attempt to retrieve some ropes. The IP was positioned between the vessel and the backscratcher. As he turned his head he struck the frame of the backscratcher with his safety glasses. This caused the glasses to impact back into his nose and leave  a small cut on the bridge of his nose.The IP was wearing Bollie Viper safety glasses and a Petzl climbing helmet which has no peak. ",The IP was treated by a first aider and a plaster was applied,Ladder,Abseiler,50-54,Female,3,Cut/Laceration,Face,Step on/Struck against stationary object,"Ascending/Descending/Working at Height ",,13712,13718,13721,20056333,11732,194,,,,,,Yes,2022-11-02 00:00:00.000,NULL,0,Wednesday,2022-11-02 15:55:15.000,No,,,NULL,NULL,NULL,1,2022-11-02 00:00:00.000,NULL,CAIRS_Incidents.csv
31873,75816,20224745,2022-11-02 00:00:00.000,21:15,Operations,Americas,US South,O&M South (C&M) – South,Dow Freeport,United States,Occupational Health,No,,Wood EE was working from a scaffold and was exposed from a line break nearby.,A1,A1,Wood,Initiated,No,,Cloudy/Overcast,"At approximately 9:15 PM on 11-02-2022, A Wood Electrician was working from a scaffold 12 feet above ground level, and another contractor across from the Wood EE was permitted to do a line opening. Communication was made between crews and when the other contractor began to open the line, the Wood EE was exposed to an airborne gas, all work tasks was stopped, and the block operations, and Dow EMS, JVIC safety, Wood safety, Construction Management were all notified.  Potential - Employee exposed to airborne gas had minimal health effect, returned to work with no restrictions.","Wood EE was released from Dow EHSS, Wood EE was transported to offsite occupational med for further evaluation. EE was released with no restrictions and return to work as normal.",Hazardous substance,Electrician,35-39,Female,3,,,,"Normal Operations ",,13712,13713,13717,20059083,15647,195,,,,,,Yes,2022-11-03 00:00:00.000,NULL,0,Wednesday,2022-11-03 18:11:01.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31874,75815,20224744,2022-11-02 00:00:00.000,14:00,Projects,Renewable Energy & Power,Renewable Energy EPC,Maplewood Solar,Maplewood Solar,United States,Environmental,No,,"The Discovery of less than a quart of fluids on the ground during jobsite visual inspection ",A1,A1,Sub-Contractor,Closed,No,Vision Directional Drilling Inc,Clear/Sunny,"At approximately 2:00pm on 11/02/2022, SWPPP supervision reported the discovery of less than a quart of fluids. The spill was discovered in small Block 1 near basin 1-5, where Subcontractor (Vision) is boring. The cause of the spill is unknown, no equipment near the discovered accidental area, was leaking fluids.  The leak was immediately noticed, and Environmental (SWPPP) was notified to begin cleaning procedures. The actual severity and potential rating were selected as an A1 due to minimal reversible environmental impact.",Environmental (SWPPP) was notified. Clean up procedures immediately took place. All contaminated soil was correctly picked up and disposed of into proper containments.,,,,,,,,,"Inspection/Examination/Monitoring ",None,13695,13704,13708,20059018,15097,195,,,,,,Yes,2022-11-03 00:00:00.000,NULL,0,Wednesday,2022-11-03 17:01:43.000,No,,,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31875,75814,20224743,2022-11-02 00:00:00.000,12:00,Operations,Americas,US North & West,O&M N&W - PAM - Other Clients,Carbon Creek Energy,United States,Injury,No,No treatment,A Wood EE injured his ankle and forehead when he tripped while walking out of a meter building.,B1,B1,Wood,Awaiting Investigation,No,,Clear/Sunny,"On Wednesday, 11-2-2022, at approximately 12:00 pm, the Wood IP was tasked with removing the calibration card out of the meter building at the JDUF 12G-1498 location.  As he was exiting the building and stepped over the threshold, his left ankle rolled causing him to stumble forward into the side of the truck which was parked near the door.  His left ankle received a sprang and his left forehead received a small contusion from contacting the side of the truck.  Actual severity is B1 because the injuries only required first aid measures.  Potential severity is B1 because it is unlikely that the injuries would have required more than first aid measures.","Reported the incident to the HSSES Advisor.  Axiom was notified ",Floor/Ground condition,Instrument Technician,30-34,Male,3,"Sprain,Bruise/Contusion/Swelling","Ankle,Head",Slip/Trip,"Normal Operations ",,13712,13713,13716,20056080,10897,195,,,,,,Yes,2022-11-03 00:00:00.000,NULL,0,Wednesday,2022-11-03 15:19:18.000,No,,,NULL,NULL,NULL,NULL,2022-11-04 00:00:00.000,NULL,CAIRS_Incidents.csv
31876,75813,20224742,2022-11-02 00:00:00.000,18:00,Operations,Americas,Canada & LATAM,Brasil - All Clients,FPSO Peregrino,Brazil,Occupational Health,No,,"One Wood employee was tested positive while in the hotel waiting for embark. ",B3,B5,Wood,Sent for Review,No,,Not Applicable,"One Wood employee was tested positive while in the hotel waiting for embark. ",Isolation and medical recommendation.,Other,,,,,,,,Non Work Related,,13712,13713,13714,20056061,10338,211,,,,Virus,,No,2022-11-03 00:00:00.000,NULL,0,Wednesday,2022-11-03 12:58:55.000,No,,Discrete,NULL,NULL,NULL,NULL,2022-11-03 00:00:00.000,NULL,CAIRS_Incidents.csv
31877,75812,20224741,2022-11-02 00:00:00.000,18:00,Operations,Americas,Canada & LATAM,Brasil - All Clients,FPSO Peregrino,Brazil,Occupational Health,No,,Two Wood employees were detected as positive during massive test offshore.,B3,B5,Wood,Sent for Review,No,,Not Applicable,Two Wood employees were detected as positive during massive test offshore.,Isolation and medical recommendation.,Other,,,,,,,,Non Work Related,,13712,13713,13714,20056061,10338,211,,,,Virus,,No,2022-11-03 00:00:00.000,NULL,0,Wednesday,2022-11-03 12:50:34.000,No,,Discrete,NULL,NULL,NULL,NULL,2022-11-03 00:00:00.000,NULL,CAIRS_Incidents.csv
31871,75803,20224732,2022-11-02 00:00:00.000,11:30,Projects,Process & Chemicals,APAC,Chonburi Office,Thailand Choburi Office,Thailand,Occupational Health,No,,4 Wood staffs infected Covid-19 (Cumulative during 1-2 Nov 22),D3,D5,Wood,Closed,No,,Clear/Sunny,4 Wood staffs infected Covid-19 (Cumulative during 1-2 Nov 22),"IP notified P&O and line manager. IP isolated at home for 5 days. WFH was enabled for IP who willing to WFH while under home isolation. ",Other,,,,,,,,Non Work Related,,13695,13700,13701,20055729,7418,180,,,,Covid-19,,No,2022-11-02 00:00:00.000,NULL,0,Wednesday,2022-11-02 05:22:42.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-02 00:00:00.000,NULL,CAIRS_Incidents.csv
31866,75808,20224737,2022-11-01 00:00:00.000,10:30,Operations,Americas,US East,US East - Energy & Power,West County,United States,Injury,No,First Aid,Wood employee felt discomfort in lower back after trying to remove air hose from trailer basement.,B1,B2,Wood,Awaiting Investigation,No,,Clear/Sunny,Wood employee was trying to pull on a chicago fitting type air hose (4 to 6 LBS) in a basement space under the tool trailer where they are stored. Employee mistakenly grabbed of a roll of 480 VAC thick heavy cable (48 LBS) instead; jerked and pulled it and received instant pain due to the weight of cable and ergonomics. Employee rested in break area for 20-30 min and then notified GF. GF Notified HSE at 12:10. Employee received treatment by first aid means.  B1 was selected as the actual severity as this has been treated with first aid means.  B2 has been selected as the potential severity as this incident could result in a lost time injury under different circumstances.,"All removal of material from the basement was halted until investigation completed and corrective actions put in place. Employee was put in contact with (Axiom), Wood's third-party provider via Telephone.  Employee was then evaluated at the clinic and release to full duty. ",Materials,Welder,24-29,Male,1,Strain,Back/Spine,Manual handling,"Manual Handling ",,13712,13713,13715,20055894,12447,195,,,,,,Yes,2022-11-02 00:00:00.000,NULL,0,Tuesday,2022-11-02 15:06:27.000,Yes,,,NULL,NULL,NULL,1,2022-11-04 00:00:00.000,NULL,CAIRS_Incidents.csv
31868,75806,20224735,2022-11-01 00:00:00.000,19:00,Projects,Conventional Energy,"Europe ",BP Seagull,BP Seagull-Offshore,United Kingdom,Injury,No,,"Door Slammed shut catching fingers, due to the movement of the vessel. ",B1,B1,Wood,Closed,No,,Not Applicable," On Tuesday 01st November 2022, at approximately 19:00hrs, a Wood electrical commissioning employee was within his recreational time between shift, and he was within the recreational area of the vessel. During this time the IP went to the toilet and due to the moment of the vessel the toilet door slammed shut on his right hand, catching his 3rd and 4th fingers. The impact caused damage to his nails along with bruising and swelling to his fingers. The IP reported to the offshore medic where his wounder was cleaned, and dressing was applied.  The IP has been placed on restricted duties as a result of his injuries. The IP is due to demobilize on Thu 03 November 20022. ","IP received medical attention for his injuries. Incident communicated within the daily safety meetings. The movement of the vessel and hazards associated with doors is covered within the arrival's induction and orientation. ",Other,,,,,,,,Non Work Related,,13695,13696,13697,20059357,16549,194,,,,"Movement of the vessel ",,No,2022-11-02 00:00:00.000,NULL,0,Tuesday,2022-11-02 11:16:54.000,No,,,NULL,NULL,NULL,NULL,2022-11-02 00:00:00.000,NULL,CAIRS_Incidents.csv
31869,75805,20224734,2022-11-01 00:00:00.000,17:45,Projects,Process & Chemicals,APAC,UCF & HMU2 Project,UCF & HMU2 Project,Thailand,Occupational Health,No,,"2 Staffs of EPC's contractor infected Covid-19 ",C3,C5,Other Person (Will not count on Statistical Reporting),Closed,No,,Clear/Sunny,"2 Staffs of contractors of EPC infected Covid-19. All cases are stable and under home isolation. ","IPs were isolated from project site for 5 days. Close contact can continue working in project as normal by following Covid-19 precaution. ",Other,,,,,,,,Non Work Related,,13695,13700,13701,20059432,16715,180,"Contractor of EPC ",,,Covid-19,,No,2022-11-02 00:00:00.000,NULL,0,Tuesday,2022-11-02 09:43:02.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-02 00:00:00.000,NULL,CAIRS_Incidents.csv
